Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
2.52,2.54,2.41,2.5,1010900,0.903376042842865,56,28,1.61,0.0288834891714184,1.075732
2.49,2.52,2.47,2.5,453100,0.903376042842865,56,28,1.5699999999999998,0.0275347423459573,1.072444
2.5,2.57,2.45,2.47,374200,0.903376042842865,56,28,1.52,0.0383891804506079,1.072306
2.47,2.54,2.47,2.49,338000,0.903376042842865,56,28,1.4900000000000002,0.0370699343652636,1.070767
2.5,2.55,2.48,2.5,314100,0.903376042842865,56,28,1.4866666666666668,0.0290329494221676,1.073307
2.54,2.6,2.5,2.58,511200,0.903376042842865,56,28,1.4866666666666668,0.0405581578414172,1.069519
2.61,2.64,2.58,2.6,219400,0.903376042842865,56,28,1.5233333333333334,0.0390578158292011,1.076079
2.59,2.61,2.55,2.6,500100,0.903376042842865,56,28,1.56,0.036647489483081,1.069862
2.62,2.67,2.59,2.62,481300,0.903376042842865,56,28,1.5933333333333333,0.032641039193373,1.07118
2.62,2.62,2.51,2.54,430300,0.903376042842865,56,28,1.606666666666667,0.0305220115173388,1.069805
2.53,2.56,2.48,2.48,484200,0.903376042842865,56,28,1.5866666666666664,0.0352030527387647,1.070744
2.45,2.52,2.44,2.45,407200,0.903376042842865,56,28,1.5466666666666669,0.0364008906506618,1.078272
2.47,2.51,2.47,2.5,652100,0.903376042842865,56,28,1.4899999999999998,0.0454752596792678,1.075095
2.5,2.53,2.45,2.47,619500,0.903376042842865,56,28,1.4766666666666666,0.0359691817837765,1.076299
2.47,2.47,2.39,2.44,713800,0.903376042842865,56,28,1.4733333333333332,0.0373416892127745,1.078935
2.48,2.5,2.42,2.49,2349600,0.903376042842865,56,28,1.4700000000000002,0.0356844921713322,1.084305
2.49,2.49,2.4,2.44,506100,0.903376042842865,56,28,1.4666666666666668,0.0365533090280316,1.094595
2.42,2.44,2.34,2.37,665700,0.903376042842865,56,28,1.4566666666666666,0.0354409392157074,1.094212
2.4,2.51,2.34,2.47,963000,0.903376042842865,56,28,1.4333333333333336,0.0377778939532749,1.09243
2.46,2.48,2.38,2.41,2277000,0.903376042842865,56,28,1.4266666666666667,0.0396502337135002,1.092037
2.37,2.39,2.25,2.26,956700,0.903376042842865,56,28,1.4166666666666663,0.030873560688024,1.099264
2.28,2.29,2.23,2.24,328000,0.903376042842865,56,28,1.3800000000000003,0.0318371393875444,1.09589
2.24,2.29,2.21,2.25,1148900,0.903376042842865,56,28,1.3033333333333332,0.0296903955627427,1.090667
2.23,2.25,2.19,2.24,612200,0.903376042842865,56,28,1.25,0.0340251930137191,1.091048
2.21,2.33,2.2,2.3,1022200,0.903376042842865,56,28,1.2433333333333336,0.0340026936046846,1.095722
2.3,2.34,2.23,2.27,384900,0.903376042842865,56,28,1.2633333333333332,0.0373492837509296,1.091584
2.23,2.28,2.23,2.26,302900,0.903376042842865,56,28,1.27,0.0379707882471495,1.086803
2.25,2.25,2.19,2.23,398700,0.903376042842865,56,28,1.2766666666666668,0.037383724426688,1.09075
2.24,2.26,2.21,2.26,297400,0.903376042842865,56,28,1.2533333333333334,0.026109931569275,1.09131
2.26,2.3,2.23,2.26,318600,0.903376042842865,56,28,1.25,0.0333252717913952,1.088495
