Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
1.69,1.76,1.63,1.72,46400,0.9130481481552124,56,5,0.6966666666666665,0.013048126998806,1.068365
1.78,1.83,1.66,1.67,134600,0.9130481481552124,56,5,0.6866666666666665,0.0134559574088173,1.072501
1.63,1.67,1.57,1.6,131000,0.9130481481552124,56,5,0.6633333333333333,0.0179183122150163,1.072766
1.55,1.66,1.55,1.55,81500,0.9130481481552124,56,5,0.6066666666666667,0.0180789979896154,1.058335
0.82,0.98,0.65,0.67,4510500,0.9130481481552124,56,5,0.2733333333333334,0.0135485754677694,1.061413
0.73,1.12,0.69,0.85,4620800,0.9130481481552124,56,5,0.0233333333333334,0.0198232329124396,1.067886
0.87,0.9,0.79,0.79,508800,0.9130481481552124,56,5,-0.2299999999999999,0.019387805459977,1.071915
0.77,0.79,0.7,0.75,489900,0.9130481481552124,56,5,-0.2033333333333332,0.0168981289906467,1.077424
0.81,0.81,0.75,0.77,116400,0.9130481481552124,56,5,-0.2299999999999999,0.0149539044107793,1.087039
0.77,0.8,0.74,0.75,121600,0.9130481481552124,56,5,-0.2433333333333333,0.0138023244303057,1.083506
0.77,0.78,0.71,0.76,150600,0.9130481481552124,56,5,-0.2399999999999998,0.0159395213376995,1.077819
0.77,0.81,0.75,0.75,237200,0.9130481481552124,56,5,-0.2466666666666667,0.0168512185515242,1.080707
0.77,0.81,0.75,0.76,193100,0.9130481481552124,56,5,-0.2433333333333333,0.0209887245860061,1.083952
0.76,0.79,0.73,0.75,321500,0.9130481481552124,56,5,-0.2466666666666667,0.016963452412224,1.084363
0.77,0.77,0.73,0.76,157700,0.9130481481552124,56,5,-0.2433333333333333,0.0192201261831631,1.090465
0.78,0.88,0.76,0.88,251100,0.9130481481552124,56,5,-0.2033333333333332,0.0179197838623703,1.080334
0.89,0.9,0.81,0.84,201100,0.9130481481552124,56,5,-0.1733333333333333,0.0178154886494453,1.091227
0.85,0.88,0.81,0.84,168500,0.9130481481552124,56,5,-0.1466666666666666,0.0162018047182523,1.096011
0.82,0.9,0.82,0.88,288400,0.9130481481552124,56,5,-0.1466666666666666,0.0186967318703113,1.090334
0.89,0.98,0.84,0.93,452000,0.9130481481552124,56,5,-0.1166666666666667,0.0193475158585755,1.092013
0.97,1.0,0.93,0.97,290300,0.9130481481552124,56,5,-0.0733333333333332,0.014577628659099,1.091358
0.99,1.0,0.94,0.99,130900,0.9130481481552124,56,5,-0.0366666666666666,0.0154811047745986,1.086933
1.0,1.17,0.99,1.11,470600,0.9130481481552124,56,5,0.0233333333333332,0.0134229963801582,1.091751
1.16,1.16,1.07,1.14,131800,0.9130481481552124,56,5,0.08,0.0159167115799712,1.099989
1.08,1.14,1.06,1.07,136000,0.9130481481552124,56,5,0.1066666666666666,0.0162091773709863,1.105461
1.04,1.11,1.0,1.02,200100,0.9130481481552124,56,5,0.0766666666666666,0.0176144616584369,1.09866
1.02,1.06,0.98,1.04,171800,0.9130481481552124,56,5,0.0433333333333332,0.0192797434690837,1.092538
1.06,1.1,1.0,1.03,72000,0.9130481481552124,56,5,0.03,0.0181547791691751,1.097538
1.04,1.06,0.94,0.95,148200,0.9130481481552124,56,5,0.0066666666666665,0.0115912973338252,1.095218
0.93,0.95,0.87,0.88,98600,0.9130481481552124,56,5,-0.0466666666666667,0.0150459981359664,1.097093
