Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
0.68,0.7,0.66,0.689,1036500,0.8684364557266235,56,3,-0.3160000000000001,-0.0169051107573639,1.077819
0.75,0.75,0.69,0.696,822200,0.8684364557266235,56,3,-0.318,-0.0081075928890252,1.080707
0.7,0.798,0.7,0.758,1087600,0.8684364557266235,56,3,-0.2856666666666667,-0.0135120539065956,1.083952
0.758,0.8,0.728,0.741,719600,0.8684364557266235,56,3,-0.2683333333333334,-0.0130431884321777,1.084363
0.75,0.777,0.73,0.746,1087000,0.8684364557266235,56,3,-0.2516666666666666,-0.0079576483879819,1.090465
0.774,0.788,0.73,0.74,398900,0.8684364557266235,56,3,-0.2576666666666667,-0.0148203024260928,1.080334
0.75,0.766,0.73,0.739,562700,0.8684364557266235,56,3,-0.2583333333333334,-0.0129199357306792,1.091227
0.73,0.752,0.73,0.732,512400,0.8684364557266235,56,3,-0.263,-0.0114376967663893,1.096011
0.73,0.75,0.73,0.734,600000,0.8684364557266235,56,3,-0.265,-0.0103930855722594,1.090334
0.77,0.78,0.661,0.668,1417600,0.8684364557266235,56,3,-0.2886666666666667,-0.0091673134796206,1.092013
0.68,0.715,0.664,0.711,653600,0.8684364557266235,56,3,-0.2956666666666666,-0.0112901956869594,1.091358
0.696,0.716,0.661,0.672,516100,0.8684364557266235,56,3,-0.3163333333333332,-0.0123785841093452,1.086933
0.68,0.757,0.67,0.72,796400,0.8684364557266235,56,3,-0.299,-0.01699867883686,1.091751
0.691,0.798,0.691,0.758,828500,0.8684364557266235,56,3,-0.2833333333333333,-0.0120086272105992,1.099989
0.794,0.84,0.763,0.817,1004600,0.8684364557266235,56,3,-0.235,-0.01255400057661,1.105461
0.82,0.83,0.791,0.804,555900,0.8684364557266235,56,3,-0.2069999999999999,-0.0107199410647493,1.09866
0.8,0.85,0.8,0.825,659500,0.8684364557266235,56,3,-0.1846666666666666,-0.0109497668358036,1.092538
0.829,0.84,0.8,0.814,443600,0.8684364557266235,56,3,-0.1856666666666667,-0.0104834502813081,1.097538
0.8,0.85,0.8,0.85,466500,0.8684364557266235,56,3,-0.1703333333333333,-0.0129105783518282,1.095218
0.82,0.85,0.801,0.825,374200,0.8684364557266235,56,3,-0.1703333333333333,-0.0129026009601985,1.097093
0.817,0.927,0.817,0.862,1187900,0.8684364557266235,56,3,-0.1543333333333333,-0.0088579140963415,1.099227
0.84,0.95,0.84,0.928,665900,0.8684364557266235,56,3,-0.1283333333333334,-0.0095674704068451,1.10595
0.928,0.949,0.83,0.9,558200,0.8684364557266235,56,3,-0.1033333333333331,-0.0086378855418388,1.097839
0.9,0.919,0.87,0.9,328800,0.8684364557266235,56,3,-0.0906666666666665,-0.0111737141627428,1.104728
0.88,0.937,0.86,0.911,298600,0.8684364557266235,56,3,-0.0963333333333332,-0.0115815844743729,1.103205
0.892,0.905,0.827,0.883,945800,0.8684364557266235,56,3,-0.1019999999999999,-0.0126075622552247,1.101091
0.888,0.91,0.86,0.867,329800,0.8684364557266235,56,3,-0.1129999999999999,-0.012757506844039,1.096924
0.84,0.896,0.84,0.863,316600,0.8684364557266235,56,3,-0.129,-0.0122590990058801,1.101091
0.875,0.927,0.862,0.881,291300,0.8684364557266235,56,3,-0.1296666666666666,-0.0072470244371269,1.106893
0.88,0.909,0.85,0.883,401900,0.8684364557266235,56,3,-0.1243333333333333,-0.0106311122797858,1.102293
