Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
11.13,11.51,10.92,11.36,611200,0.9995211362838744,56,13,10.166666666666666,0.2224031587373742,1.082275
11.33,11.48,11.12,11.18,627400,0.9995211362838744,56,13,10.193333333333332,0.2339384046623417,1.081105
11.07,11.13,10.79,10.94,739600,0.9995211362838744,56,13,10.159999999999998,0.2111340919609697,1.076971
10.84,10.86,10.46,10.57,397600,0.9995211362838744,56,13,9.896666666666668,0.3283550296879777,1.075732
10.58,10.655,10.47,10.48,390700,0.9995211362838744,56,13,9.663333333333332,0.2087035683314984,1.072444
10.42,10.66,10.33,10.42,589500,0.9995211362838744,56,13,9.49,0.4358492121775412,1.072306
10.4,10.63,10.25,10.48,1010400,0.9995211362838744,56,13,9.46,0.2422226092489486,1.070767
10.43,10.72,10.4,10.56,860400,0.9995211362838744,56,13,9.486666666666666,0.2624076714306306,1.073307
10.74,10.74,10.325,10.5,1206800,0.9995211362838744,56,13,9.513333333333334,0.2732789345182277,1.069519
10.49,10.49,10.17,10.2,875400,0.9995211362838744,56,13,9.42,0.2608556779527458,1.076079
10.2,10.23,9.91,10.0,1797500,0.9995211362838744,56,13,9.233333333333333,0.2377317201279707,1.069862
10.1,10.95,10.03,10.78,3098400,0.9995211362838744,56,13,9.326666666666666,0.3189842003569673,1.07118
10.79,10.87,10.265,10.41,867100,0.9995211362838744,56,13,9.396666666666668,0.3089721083482724,1.069805
10.38,10.46,10.21,10.3,994200,0.9995211362838744,56,13,9.496666666666668,0.3562638782301744,1.070744
10.34,10.58,10.18,10.54,901300,0.9995211362838744,56,13,9.416666666666666,0.2330722954191497,1.078272
10.54,10.61,9.99,10.15,1461500,0.9995211362838744,56,13,9.33,0.2770235320137022,1.075095
10.15,10.34,9.9,9.98,1148400,0.9995211362838744,56,13,9.223333333333333,0.2224008039913025,1.076299
9.94,10.01,9.8,9.98,1011600,0.9995211362838744,56,13,9.036666666666669,0.3527090401824872,1.078935
10.02,10.21,9.851,10.1,3008100,0.9995211362838744,56,13,9.02,0.1701868505425662,1.084305
10.04,10.55,9.91,10.37,1418400,0.9995211362838744,56,13,9.15,0.3125852563475816,1.094595
10.32,10.665,10.211,10.39,1313800,0.9995211362838744,56,13,9.286666666666669,0.2606272914372826,1.094212
10.37,10.42,9.79,9.88,1054800,0.9995211362838744,56,13,9.213333333333331,0.2514268307776579,1.09243
9.78,9.91,9.405,9.53,2929900,0.9995211362838744,56,13,8.933333333333334,0.1999594456020129,1.092037
9.55,9.8,9.4,9.43,773600,0.9995211362838744,56,13,8.613333333333333,0.244416201684877,1.099264
9.41,11.42,9.32,11.28,4303400,0.9995211362838744,56,13,9.08,0.2997455563163523,1.09589
11.27,11.74,11.22,11.61,1914100,0.9995211362838744,56,13,9.773333333333332,0.2641105339126931,1.090667
11.62,12.06,11.53,11.97,1382500,0.9995211362838744,56,13,10.62,0.3589565206911718,1.091048
12.1,12.29,12.02,12.17,894400,0.9995211362838744,56,13,10.916666666666666,0.2237451810881623,1.095722
12.13,12.19,11.94,11.98,598700,0.9995211362838744,56,13,11.04,0.1800924814453521,1.091584
12.0,12.15,11.79,11.94,1011700,0.9995211362838744,56,13,11.03,0.2776479811396002,1.086803
