Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
1.93,1.98,1.83,1.86,839600,0.99966299533844,56,10,0.8700000000000001,0.0160005635140989,1.101091
1.84,1.875,1.785,1.86,823600,0.99966299533844,56,10,0.8833333333333335,0.0151090081069901,1.096924
1.84,1.915,1.81,1.87,795200,0.99966299533844,56,10,0.8633333333333333,0.021756000304884,1.101091
1.85,1.87,1.755,1.84,982400,0.99966299533844,56,10,0.8566666666666667,0.0208740041510476,1.106893
1.88,1.97,1.81,1.92,869800,0.99966299533844,56,10,0.8766666666666667,0.0161044238982024,1.102293
2.0,2.03,1.912,2.02,751700,0.99966299533844,56,10,0.9266666666666667,0.022674738178447,1.101868
1.99,1.995,1.86,1.86,611200,0.99966299533844,56,10,0.9333333333333336,0.0217504002073638,1.099614
1.92,1.93,1.74,1.78,1097500,0.99966299533844,56,10,0.8866666666666667,0.0202596849153255,1.096467
1.79,1.89,1.78,1.88,687600,0.99966299533844,56,10,0.8399999999999999,0.0180579110982053,1.098406
1.87,1.93,1.8,1.92,838100,0.99966299533844,56,10,0.8600000000000001,0.0168166765762638,1.091215
1.92,2.02,1.89,2.02,997700,0.99966299533844,56,10,0.9400000000000002,0.0195493870772799,1.08527
2.0,2.1,1.92,2.03,1034500,0.99966299533844,56,10,0.99,0.0204410982236121,1.08737
2.08,2.09,1.96,2.08,991300,0.99966299533844,56,10,1.0433333333333334,0.0253942249095863,1.086567
2.07,2.27,2.02,2.25,1112500,0.99966299533844,56,10,1.1199999999999997,0.0199952287247318,1.083835
2.3,2.325,2.23,2.31,664500,0.99966299533844,56,10,1.2133333333333334,0.0206265247624986,1.07754
2.33,2.36,2.23,2.29,616900,0.99966299533844,56,10,1.2833333333333332,0.019840750383565,1.082275
2.27,2.31,2.23,2.25,779700,0.99966299533844,56,10,1.2833333333333332,0.0201415814266837,1.081105
2.24,2.3,2.15,2.28,554100,0.99966299533844,56,10,1.273333333333333,0.0196766827012783,1.076971
2.23,2.27,2.195,2.25,456800,0.99966299533844,56,10,1.2599999999999998,0.0210514395555097,1.075732
2.27,2.35,2.22,2.27,429700,0.99966299533844,56,10,1.2666666666666662,0.0219811021642972,1.072444
2.29,2.43,2.225,2.39,1151300,0.99966299533844,56,10,1.3033333333333332,0.0171116650220455,1.072306
2.4,2.45,2.25,2.34,3120500,0.99966299533844,56,10,1.3333333333333337,0.0177560550698945,1.070767
2.34,2.555,2.27,2.51,1181600,0.99966299533844,56,10,1.4133333333333336,0.0164992248209028,1.073307
2.56,2.6,2.44,2.55,1132700,0.99966299533844,56,10,1.4666666666666663,0.0187744577774745,1.069519
2.55,2.575,2.48,2.56,394600,0.99966299533844,56,10,1.5399999999999996,0.0195719466784584,1.076079
2.56,2.6,2.52,2.54,900100,0.99966299533844,56,10,1.5500000000000005,0.0208794180488601,1.069862
2.54,2.62,2.45,2.46,904900,0.99966299533844,56,10,1.52,0.020861353287977,1.07118
2.47,2.49,2.38,2.4,701500,0.99966299533844,56,10,1.4666666666666663,0.0209252707351213,1.069805
2.42,2.53,2.38,2.44,930200,0.99966299533844,56,10,1.4333333333333331,0.0144752564790832,1.070744
2.47,2.64,2.465,2.52,1063100,0.99966299533844,56,10,1.4533333333333336,0.0184925400030837,1.078272
