Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
15.67,15.86,14.75,14.81,38200,0.9920167922973632,56,28,14.106666666666667,0.2105437441443765,1.099227
14.81,15.48,14.68,14.77,29100,0.9920167922973632,56,28,14.13,0.2022075599443642,1.10595
14.55,15.25,14.55,14.86,29800,0.9920167922973632,56,28,13.813333333333333,0.2067976336799617,1.097839
15.21,15.44,14.83,15.03,41500,0.9920167922973632,56,28,13.886666666666663,0.2577114142468009,1.104728
15.05,15.1,14.54,14.57,26400,0.9920167922973632,56,28,13.82,0.2154012833783553,1.103205
14.5,14.93,14.01,14.85,43800,0.9920167922973632,56,28,13.816666666666668,0.2995873269520384,1.101091
14.57,14.88,13.72,13.83,33500,0.9920167922973632,56,28,13.416666666666666,0.20512215019197,1.096924
13.95,15.08,13.88,14.66,36400,0.9920167922973632,56,28,13.446666666666664,0.2587366856070235,1.101091
14.72,14.72,13.74,14.06,30700,0.9920167922973632,56,28,13.183333333333332,0.2399796584350014,1.106893
14.11,14.6,13.75,14.34,34300,0.9920167922973632,56,28,13.353333333333332,0.2079557930798582,1.102293
14.39,14.89,14.16,14.8,17900,0.9920167922973632,56,28,13.4,0.2294212649095903,1.101868
14.97,14.97,14.56,14.8,16500,0.9920167922973632,56,28,13.646666666666668,0.2520077790847406,1.099614
15.01,15.25,14.7,14.96,31600,0.9920167922973632,56,28,13.853333333333332,0.2386550188129744,1.096467
13.51,15.05,13.51,14.84,36800,0.9920167922973632,56,28,13.866666666666667,0.2049461466710271,1.098406
15.18,15.18,13.82,14.09,25000,0.9920167922973632,56,28,13.63,0.1909278588649718,1.091215
14.23,14.3,13.67,13.85,43500,0.9920167922973632,56,28,13.26,0.1996654801149199,1.08527
13.54,14.07,13.5,13.69,41300,0.9920167922973632,56,28,12.876666666666663,0.1943965917389992,1.08737
13.69,14.09,13.49,13.59,35000,0.9920167922973632,56,28,12.71,0.2069109731802407,1.086567
13.55,14.06,13.37,13.54,24200,0.9920167922973632,56,28,12.606666666666664,0.1632985945670959,1.083835
13.34,13.79,13.34,13.48,15600,0.9920167922973632,56,28,12.536666666666669,0.2311013410725634,1.07754
13.63,14.7,13.63,14.43,34200,0.9920167922973632,56,28,12.816666666666668,0.2110544085248825,1.082275
14.39,14.5,13.0,13.4,67000,0.9920167922973632,56,28,12.77,0.2051465361659358,1.081105
13.11,13.75,13.1,13.67,31500,0.9920167922973632,56,28,12.833333333333334,0.1955974580280069,1.076971
13.72,13.91,12.77,13.05,39100,0.9920167922973632,56,28,12.373333333333337,0.2516179892878279,1.075732
13.05,13.49,13.05,13.39,10500,0.9920167922973632,56,28,12.37,0.2325621524000886,1.072444
13.4,13.4,12.36,12.72,62600,0.9920167922973632,56,28,12.053333333333336,0.2063594602354292,1.072306
12.75,13.29,12.5,13.1,17500,0.9920167922973632,56,28,12.07,0.3332448250196939,1.070767
12.84,13.46,12.84,13.25,10100,0.9920167922973632,56,28,12.023333333333332,0.1882732963068449,1.073307
13.35,13.49,13.06,13.25,7100,0.9920167922973632,56,28,12.2,0.1979085573611905,1.069519
13.18,13.57,12.74,13.48,24900,0.9920167922973632,56,28,12.326666666666668,0.1929727196673172,1.076079
