Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
1.78,1.805,1.71,1.79,798700,0.998715877532959,56,28,0.7666666666666666,0.0137540424625802,1.067771
1.79,1.82,1.74,1.79,710900,0.998715877532959,56,28,0.7766666666666666,0.0131117820695034,1.073042
1.77,1.81,1.74,1.8,710100,0.998715877532959,56,28,0.7933333333333337,0.0182805621193371,1.073572
1.8,1.84,1.75,1.81,400500,0.998715877532959,56,28,0.8,0.0176523496977445,1.069176
1.81,1.915,1.8,1.89,664800,0.998715877532959,56,28,0.8333333333333333,0.013825214010556,1.066576
1.9,1.9,1.73,1.73,754600,0.998715877532959,56,28,0.8099999999999998,0.0193134084959129,1.068444
1.77,1.77,1.68,1.74,900100,0.998715877532959,56,28,0.7866666666666664,0.0185989599186672,1.068262
1.78,1.78,1.65,1.7,774300,0.998715877532959,56,28,0.7233333333333334,0.0174511854681338,1.065201
1.71,1.71,1.6,1.62,789300,0.998715877532959,56,28,0.6866666666666665,0.0155433519968442,1.06058
1.63,1.7,1.63,1.66,829400,0.998715877532959,56,28,0.6600000000000001,0.0145342911987327,1.059805
1.67,1.695,1.58,1.68,1227400,0.998715877532959,56,28,0.6533333333333333,0.0167633584470308,1.055476
1.69,1.69,1.56,1.61,1216000,0.998715877532959,56,28,0.6499999999999997,0.0173337574526961,1.061121
1.58,1.605,1.54,1.55,879000,0.998715877532959,56,28,0.6133333333333333,0.021654885561556,1.057731
1.55,1.59,1.51,1.56,1092400,0.998715877532959,56,28,0.5733333333333335,0.0171281818017983,1.066894
1.57,1.67,1.53,1.56,920400,0.998715877532959,56,28,0.5566666666666666,0.0177817567679878,1.059973
1.56,1.56,1.45,1.51,1096300,0.998715877532959,56,28,0.5433333333333337,0.016992615319682,1.06262
1.52,1.525,1.43,1.48,615300,0.998715877532959,56,28,0.5166666666666666,0.017406337632396,1.068833
1.48,1.49,1.325,1.375,1545200,0.998715877532959,56,28,0.455,0.0168766377217654,1.055075
1.37,1.383,1.305,1.33,1062200,0.998715877532959,56,28,0.3950000000000002,0.0179894733110833,1.054953
1.32,1.32,1.22,1.25,1702900,0.998715877532959,56,28,0.3183333333333333,0.0188810636730953,1.05847
1.26,1.3,1.15,1.18,1524800,0.998715877532959,56,28,0.2533333333333332,0.0147016955657257,1.068365
1.18,1.245,1.14,1.23,949600,0.998715877532959,56,28,0.2199999999999999,0.0151605425654973,1.072501
1.21,1.25,1.162,1.25,767300,0.998715877532959,56,28,0.2199999999999999,0.014138283601306,1.072766
1.24,1.25,1.15,1.22,868900,0.998715877532959,56,28,0.2333333333333334,0.0162024728636757,1.058335
1.22,1.245,1.16,1.19,962300,0.998715877532959,56,28,0.2199999999999999,0.0161917588593736,1.061413
1.23,1.28,1.18,1.23,673200,0.998715877532959,56,28,0.2133333333333333,0.0177853732147284,1.067886
1.26,1.26,1.17,1.17,698300,0.998715877532959,56,28,0.1966666666666665,0.0180813277367378,1.071915
1.2,1.25,1.18,1.19,662400,0.998715877532959,56,28,0.1966666666666665,0.0178017735365181,1.077424
1.2,1.26,1.18,1.25,960100,0.998715877532959,56,28,0.2033333333333333,0.0124333007472738,1.087039
1.29,1.4,1.268,1.37,1269800,0.998715877532959,56,28,0.27,0.0158691770435215,1.083506
