Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
1.2,1.2,1.08,1.11,1277600,0.9991934895515442,56,6,0.2266666666666665,0.0053121027958135,1.102293
1.15,1.19,1.12,1.13,559800,0.9991934895515442,56,6,0.1366666666666667,0.0048858932327856,1.101868
1.15,1.19,1.12,1.16,592400,0.9991934895515442,56,6,0.1366666666666667,0.005250823134092,1.099614
1.17,1.19,1.12,1.13,243500,0.9991934895515442,56,6,0.1333333333333333,0.008144003223109,1.096467
1.13,1.16,1.08,1.08,500800,0.9991934895515442,56,6,0.1399999999999999,0.0054276951545552,1.098406
1.09,1.12,0.965,1.04,608000,0.9991934895515442,56,6,0.1233333333333333,0.0064065773390051,1.091215
1.03,1.069,0.936,0.95,1054900,0.9991934895515442,56,6,0.0833333333333332,0.0052643666617754,1.08527
0.925,0.94,0.9,0.902,494400,0.9991934895515442,56,6,0.0233333333333334,0.0061654996735821,1.08737
0.91,1.01,0.91,0.98,746500,0.9991934895515442,56,6,-0.036,0.0058494110417267,1.086567
1.03,1.04,0.93,0.945,818200,0.9991934895515442,56,6,-0.056,0.0058438941524327,1.083835
0.964,1.02,0.951,0.996,655100,0.9991934895515442,56,6,-0.0576666666666666,0.0069483784528331,1.07754
0.98,0.98,0.882,0.915,941700,0.9991934895515442,56,6,-0.0263333333333334,0.007872254791361,1.082275
0.909,0.909,0.833,0.84,476700,0.9991934895515442,56,6,-0.048,0.0050750764265461,1.081105
0.85,0.879,0.77,0.783,732100,0.9991934895515442,56,6,-0.083,0.0075632713528807,1.076971
0.77,0.909,0.77,0.869,819600,0.9991934895515442,56,6,-0.1539999999999999,0.0058230210413752,1.075732
0.86,0.89,0.81,0.82,435500,0.9991934895515442,56,6,-0.1693333333333333,0.0055240701160146,1.072444
0.854,0.885,0.826,0.831,481700,0.9991934895515442,56,6,-0.176,0.0082530670976418,1.072306
0.885,1.05,0.84,1.03,1684200,0.9991934895515442,56,6,-0.16,0.0054336755494157,1.070767
0.97,1.02,0.92,0.94,456000,0.9991934895515442,56,6,-0.1063333333333332,0.0046940880101464,1.073307
0.934,1.02,0.922,0.951,407900,0.9991934895515442,56,6,-0.0663333333333332,0.0087820679471179,1.069519
0.955,0.986,0.922,0.922,298800,0.9991934895515442,56,6,-0.0263333333333334,0.0060169469966696,1.076079
0.937,0.97,0.912,0.949,255200,0.9991934895515442,56,6,-0.0623333333333334,0.0065370038494589,1.069862
0.92,0.97,0.89,0.96,317100,0.9991934895515442,56,6,-0.0593333333333334,0.0040396750986745,1.07118
0.956,0.97,0.93,0.933,338300,0.9991934895515442,56,6,-0.0563333333333334,0.0073955025817155,1.069805
0.93,0.97,0.881,0.886,269500,0.9991934895515442,56,6,-0.0526666666666667,0.0052710718052454,1.070744
0.886,0.939,0.886,0.92,259000,0.9991934895515442,56,6,-0.0736666666666666,0.0043092270671854,1.078272
0.908,0.945,0.872,0.872,381400,0.9991934895515442,56,6,-0.087,0.0081064849745883,1.075095
0.877,0.929,0.87,0.87,388600,0.9991934895515442,56,6,-0.1073333333333333,0.003875316589857,1.076299
0.862,0.95,0.862,0.911,455300,0.9991934895515442,56,6,-0.1126666666666666,0.0044582370059109,1.078935
0.91,0.971,0.91,0.928,438000,0.9991934895515442,56,6,-0.1156666666666667,0.003950114698551,1.084305
