Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
8.88,9.0,8.6,8.71,82300,0.9996322393417358,56,26,7.746666666666668,0.155592397835782,1.08527
8.99,10.88,8.904,10.39,330700,0.9996322393417358,56,26,7.773333333333333,0.1450880201071518,1.08737
10.78,11.15,10.39,10.57,109900,0.9996322393417358,56,26,8.290000000000001,0.235637111952875,1.086567
10.62,10.62,9.46,9.46,684700,0.9996322393417358,56,26,8.89,0.2234285827455835,1.083835
9.36,9.46,7.56,7.92,251600,0.9996322393417358,56,26,9.14,0.1640325641342446,1.07754
7.92,8.297,7.47,7.52,95800,0.9996322393417358,56,26,8.316666666666666,0.2456945596490095,1.082275
7.47,7.57,6.6,7.57,191100,0.9996322393417358,56,26,7.300000000000001,0.2201912954515243,1.081105
7.57,7.86,7.28,7.48,129000,0.9996322393417358,56,26,6.669999999999999,0.2053846082194036,1.076971
7.48,7.49,6.68,6.83,99400,0.9996322393417358,56,26,6.523333333333333,0.1812180851188675,1.075732
6.94,7.49,6.81,7.44,62500,0.9996322393417358,56,26,6.293333333333334,0.1669788790901841,1.072444
7.5,7.511,6.86,7.06,73800,0.9996322393417358,56,26,6.25,0.1937421292260002,1.072306
7.0,7.035,6.83,6.91,19200,0.9996322393417358,56,26,6.109999999999999,0.2126711989424861,1.070767
6.91,6.91,6.66,6.89,19300,0.9996322393417358,56,26,6.136666666666667,0.2593263560483694,1.073307
6.87,7.209,6.87,7.06,18900,0.9996322393417358,56,26,5.953333333333333,0.1817745229396476,1.069519
1.3,1.34,0.89,0.943,13059400,0.9996322393417358,56,26,5.953333333333333,0.1897287515635886,1.076079
0.916,1.04,0.872,0.9,3388800,0.9996322393417358,56,26,3.964333333333333,0.2014903034352068,1.069862
0.88,0.898,0.79,0.826,2254100,0.9996322393417358,56,26,1.967666666666667,0.1976880367094095,1.07118
0.798,0.8,0.761,0.772,1434300,0.9996322393417358,56,26,-0.1103333333333332,0.1971179055153827,1.069805
0.767,0.768,0.721,0.722,1262000,0.9996322393417358,56,26,-0.1673333333333334,0.2070355527081337,1.070744
0.723,0.748,0.691,0.7,905400,0.9996322393417358,56,26,-0.2266666666666666,0.2164916340189551,1.078272
0.723,0.75,0.69,0.721,886300,0.9996322393417358,56,26,-0.2686666666666667,0.1573359796107735,1.075095
0.721,0.74,0.702,0.705,435100,0.9996322393417358,56,26,-0.2856666666666667,0.1620520192560195,1.076299
0.718,0.72,0.693,0.705,614800,0.9996322393417358,56,26,-0.2913333333333333,0.1607996920173885,1.078935
0.71,0.716,0.684,0.684,450600,0.9996322393417358,56,26,-0.2896666666666667,0.1674882418966086,1.084305
0.71,0.71,0.685,0.694,331200,0.9996322393417358,56,26,-0.302,0.1893233245488614,1.094595
0.719,0.719,0.682,0.706,299400,0.9996322393417358,56,26,-0.3056666666666667,0.205299685951551,1.094212
0.7,0.7,0.681,0.695,167300,0.9996322393417358,56,26,-0.3053333333333333,0.2077925440726958,1.09243
0.699,0.71,0.686,0.71,216700,0.9996322393417358,56,26,-0.3016666666666667,0.2050424744074083,1.092037
0.709,0.709,0.67,0.705,397100,0.9996322393417358,56,26,-0.2963333333333334,0.1382296438217615,1.099264
0.7,0.74,0.67,0.74,392200,0.9996322393417358,56,26,-0.2966666666666667,0.1704504990554446,1.09589
