Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
3.26,3.52,3.25,3.34,1419000,0.999739944934845,56,25,2.323333333333333,0.0427294742119806,1.08527
3.26,3.26,2.965,3.1,604300,0.999739944934845,56,25,2.233333333333333,0.0403485772052571,1.08737
3.1,3.175,2.945,3.14,728500,0.999739944934845,56,25,2.193333333333334,0.0580993571360314,1.086567
3.12,3.19,3.07,3.18,405600,0.999739944934845,56,25,2.140000000000001,0.055743988096859,1.083835
3.23,3.31,3.18,3.27,452900,0.999739944934845,56,25,2.1966666666666668,0.0430068331687627,1.07754
3.27,3.27,3.055,3.11,574600,0.999739944934845,56,25,2.186666666666666,0.0605528448673471,1.082275
3.1,3.22,3.05,3.16,460700,0.999739944934845,56,25,2.18,0.0580844020863317,1.081105
3.14,3.245,2.97,3.23,417900,0.999739944934845,56,25,2.1666666666666665,0.05410344975472,1.076971
3.23,3.313,3.02,3.105,522400,0.999739944934845,56,25,2.1650000000000005,0.0482236169940579,1.075732
3.15,3.16,2.99,3.08,396200,0.999739944934845,56,25,2.138333333333333,0.044908902581057,1.072444
3.19,3.38,3.13,3.35,1454200,0.999739944934845,56,25,2.178333333333333,0.0522066007389428,1.072306
3.33,3.46,3.293,3.39,1450600,0.999739944934845,56,25,2.273333333333333,0.0545879136469642,1.070767
3.44,3.52,3.32,3.36,749000,0.999739944934845,56,25,2.3666666666666667,0.0678152289731098,1.073307
3.38,3.465,3.31,3.39,735200,0.999739944934845,56,25,2.3800000000000003,0.0533972200043606,1.069519
3.39,3.46,3.25,3.42,1036000,0.999739944934845,56,25,2.39,0.0550830948638372,1.076079
3.44,3.54,3.285,3.49,1080100,0.999739944934845,56,25,2.4333333333333336,0.05298468589021,1.069862
3.52,3.65,3.4,3.61,640800,0.999739944934845,56,25,2.5066666666666664,0.0537880546145539,1.07118
3.61,3.66,3.46,3.54,471500,0.999739944934845,56,25,2.546666666666667,0.0525465434589693,1.069805
3.53,3.754,3.35,3.48,572000,0.999739944934845,56,25,2.543333333333333,0.0562178290045604,1.070744
3.57,3.64,3.395,3.51,305400,0.999739944934845,56,25,2.51,0.0587004912203645,1.078272
3.5,3.8,3.5,3.77,424700,0.999739944934845,56,25,2.5866666666666664,0.0456966686604051,1.075095
3.76,3.9,3.53,3.57,457100,0.999739944934845,56,25,2.6166666666666667,0.0474175110487222,1.076299
3.57,3.725,3.38,3.61,469600,0.999739944934845,56,25,2.65,0.0440611482765105,1.078935
3.68,3.7,3.355,3.37,697300,0.999739944934845,56,25,2.516666666666667,0.0501371535283514,1.084305
3.35,3.37,3.1,3.11,533800,0.999739944934845,56,25,2.3633333333333333,0.0522668461106725,1.094595
3.09,3.11,2.86,2.96,717500,0.999739944934845,56,25,2.146666666666667,0.0557584459005958,1.094212
2.99,2.99,2.76,2.88,650300,0.999739944934845,56,25,1.983333333333333,0.0557102039912644,1.09243
2.81,2.985,2.775,2.89,6690000,0.999739944934845,56,25,1.91,0.055880895411416,1.092037
2.92,2.98,2.75,2.76,499900,0.999739944934845,56,25,1.8433333333333333,0.0386561446970152,1.099264
2.76,2.8,2.6,2.75,650800,0.999739944934845,56,25,1.8000000000000005,0.0493842926519134,1.09589
