Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
0.774,0.79,0.66,0.678,767900,0.9998286962509156,56,9,-0.3213333333333333,-0.0052473399266159,1.105461
0.75,0.78,0.715,0.74,441800,0.9998286962509156,56,9,-0.313,-0.004535285011377,1.09866
0.746,0.786,0.733,0.746,372800,0.9998286962509156,56,9,-0.2893333333333334,-0.0075618269562187,1.092538
0.75,0.779,0.732,0.75,373300,0.9998286962509156,56,9,-0.2786666666666667,-0.0083024853800036,1.097538
0.75,0.77,0.73,0.751,386700,0.9998286962509156,56,9,-0.2546666666666667,-0.0045002947833133,1.095218
0.722,0.75,0.683,0.688,266400,0.9998286962509156,56,9,-0.251,-0.0133614078133687,1.097093
0.64,0.68,0.6,0.604,458500,0.9998286962509156,56,9,-0.2703333333333333,-0.0077661937425263,1.099227
0.607,0.66,0.58,0.615,371400,0.9998286962509156,56,9,-0.3189999999999999,-0.0109258410353145,1.10595
0.617,0.646,0.581,0.635,176800,0.9998286962509156,56,9,-0.3643333333333333,-0.0040931043674527,1.097839
0.65,0.66,0.585,0.604,347500,0.9998286962509156,56,9,-0.382,-0.0049972991775192,1.104728
0.598,0.6,0.56,0.591,366400,0.9998286962509156,56,9,-0.382,-0.0077350951376582,1.103205
0.61,0.61,0.533,0.539,448300,0.9998286962509156,56,9,-0.39,-0.0088731619150746,1.101091
0.529,0.549,0.5,0.53,305000,0.9998286962509156,56,9,-0.422,-0.0061436813320928,1.096924
0.527,0.55,0.503,0.528,251600,0.9998286962509156,56,9,-0.4466666666666666,-0.0094062051955076,1.101091
0.517,0.55,0.5,0.503,307000,0.9998286962509156,56,9,-0.4676666666666667,-0.0099797206692748,1.106893
0.517,0.549,0.455,0.506,332400,0.9998286962509156,56,9,-0.4796666666666667,-0.0099644867346633,1.102293
0.519,0.55,0.447,0.459,334400,0.9998286962509156,56,9,-0.4876666666666667,-0.0096229582221365,1.101868
0.45,0.458,0.41,0.423,585100,0.9998286962509156,56,9,-0.5106666666666666,-0.0081077278168487,1.099614
0.445,0.49,0.4,0.467,475500,0.9998286962509156,56,9,-0.5373333333333334,-0.0060397068749814,1.096467
0.458,0.51,0.454,0.504,213200,0.9998286962509156,56,9,-0.5503333333333333,-0.0072111468531654,1.098406
0.506,0.522,0.461,0.504,154000,0.9998286962509156,56,9,-0.5353333333333334,-0.0078691291979998,1.091215
0.511,0.55,0.471,0.549,211800,0.9998286962509156,56,9,-0.5083333333333333,-0.0080374384550242,1.08527
0.533,0.549,0.48,0.52,249400,0.9998286962509156,56,9,-0.481,-0.0057583478616629,1.08737
0.54,0.54,0.47,0.53,199200,0.9998286962509156,56,9,-0.4756666666666667,-0.0100706380039594,1.086567
0.55,0.59,0.5,0.584,287100,0.9998286962509156,56,9,-0.4669999999999999,-0.0048322836650766,1.083835
0.61,0.65,0.584,0.65,898600,0.9998286962509156,56,9,-0.4553333333333333,-0.0083783683669939,1.07754
0.749,0.758,0.58,0.675,2529800,0.9998286962509156,56,9,-0.412,-0.0113679384701132,1.082275
0.7,0.81,0.59,0.66,1719300,0.9998286962509156,56,9,-0.3636666666666667,-0.0060511105419886,1.081105
0.64,0.679,0.601,0.649,481300,0.9998286962509156,56,9,-0.3383333333333334,-0.0045126725582322,1.076971
0.65,0.68,0.6,0.605,245500,0.9998286962509156,56,9,-0.3386666666666666,-0.0057750410632976,1.075732
