Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
0.873,0.919,0.86,0.874,5751300,0.9894947409629822,56,0,-0.1186666666666665,-0.0011811383486259,1.09075
0.87,0.872,0.84,0.854,7551400,0.9894947409629822,56,0,-0.1179999999999998,-0.001236590160987,1.09131
0.85,0.85,0.766,0.777,21217300,0.9894947409629822,56,0,-0.1249999999999998,-0.0012205051725763,1.088495
0.793,0.843,0.788,0.83,14184200,0.9894947409629822,56,0,-0.165,-0.0013854211201534,1.085658
0.82,0.904,0.815,0.895,11816900,0.9894947409629822,56,0,-0.1796666666666665,-0.0012223202825235,1.089064
0.89,0.94,0.888,0.922,6732300,0.9894947409629822,56,0,-0.1659999999999999,-0.0014663431814753,1.096972
0.91,0.945,0.902,0.92,10134700,0.9894947409629822,56,0,-0.1176666666666665,-0.0012038389477203,1.100594
0.926,1.01,0.925,0.978,25213900,0.9894947409629822,56,0,-0.0876666666666666,-0.0013344389684966,1.101406
1.0,1.05,0.98,0.998,7605500,0.9894947409629822,56,0,-0.0599999999999999,-0.0012823481783505,1.114455
0.983,1.04,0.942,1.03,6051800,0.9894947409629822,56,0,-0.0346666666666665,-0.0012054925545732,1.122347
1.04,1.08,1.01,1.06,5725000,0.9894947409629822,56,0,0.002,-0.0012725945407267,1.122776
1.06,1.19,1.052,1.17,8704400,0.9894947409629822,56,0,0.0293333333333334,-0.001264710160049,1.12376
1.2,1.24,1.12,1.15,9770200,0.9894947409629822,56,0,0.0866666666666666,-0.0013231520499806,1.122889
1.18,1.21,1.16,1.17,3936300,0.9894947409629822,56,0,0.1266666666666667,-0.0011051485861408,1.120523
1.18,1.187,1.06,1.12,7086200,0.9894947409629822,56,0,0.1633333333333333,-0.0011553288341713,1.11371
1.1,1.12,1.07,1.09,3106300,0.9894947409629822,56,0,0.1466666666666667,-0.0011449391310478,1.112533
1.06,1.16,1.06,1.14,3220300,0.9894947409629822,56,0,0.1266666666666667,-0.001175290326423,1.106317
1.17,1.19,1.07,1.09,3487100,0.9894947409629822,56,0,0.1166666666666667,-0.0012078697327421,1.105046
1.1,1.14,1.08,1.13,3472900,0.9894947409629822,56,0,0.1066666666666666,-0.0010141349329317,1.107837
1.16,1.26,1.141,1.25,6178700,0.9894947409629822,56,0,0.1200000000000001,-0.0012686508151598,1.097876
1.28,1.34,1.26,1.3,7627500,0.9894947409629822,56,0,0.1566666666666665,-0.0011445904459582,1.102426
1.25,1.28,1.2,1.26,4631900,0.9894947409629822,56,0,0.2266666666666668,-0.0011734097183506,1.099759
1.24,1.37,1.21,1.35,5510600,0.9894947409629822,56,0,0.2699999999999998,-0.0010811060650384,1.100788
1.35,1.375,1.3,1.32,5172200,0.9894947409629822,56,0,0.3033333333333334,-0.0013049562531744,1.094415
1.33,1.35,1.21,1.26,4499500,0.9894947409629822,56,0,0.31,-0.001310094176267,1.095158
1.24,1.37,1.18,1.33,9838800,0.9894947409629822,56,0,0.3099999999999998,-0.0011830761488624,1.100267
1.47,1.63,1.36,1.39,20595100,0.9894947409629822,56,0,0.3033333333333334,-0.0015253038613092,1.100316
1.42,1.54,1.3,1.32,9794700,0.9894947409629822,56,0,0.3266666666666666,-0.0011252137906202,1.09589
1.3,1.53,1.3,1.5,9900200,0.9894947409629822,56,0,0.3466666666666667,-0.0011096982200627,1.097767
1.49,1.6,1.46,1.56,6734600,0.9894947409629822,56,0,0.4033333333333333,-0.0011160586576604,1.098165
