Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
4.15,4.28,3.98,4.1,214400,0.7544390559196472,56,22,3.1466666666666674,0.054058115222582,1.059805
4.1,4.17,4.05,4.11,175000,0.7544390559196472,56,22,3.1166666666666663,0.0504345696833826,1.055476
4.11,4.46,4.0,4.3,1741300,0.7544390559196472,56,22,3.140000000000001,0.0741346557699403,1.061121
4.3,4.485,4.01,4.12,3341800,0.7544390559196472,56,22,3.17,0.0671584787355305,1.057731
4.13,4.13,3.64,4.02,1754200,0.7544390559196472,56,22,3.1766666666666667,0.0534145052747389,1.066894
4.04,4.195,3.89,4.11,334600,0.7544390559196472,56,22,3.1466666666666674,0.0757881329576586,1.059973
4.1,4.28,3.91,4.07,3153100,0.7544390559196472,56,22,3.083333333333333,0.0716472543971396,1.06262
4.05,4.285,4.03,4.21,432500,0.7544390559196472,56,22,3.066666666666668,0.0660726511354501,1.068833
4.22,4.32,4.11,4.11,530800,0.7544390559196472,56,22,3.13,0.0587618967941899,1.055075
4.22,4.68,3.9,3.92,860000,0.7544390559196472,56,22,3.130000000000001,0.0564432046710483,1.054953
3.83,3.977,2.875,3.01,2244800,0.7544390559196472,56,22,3.08,0.0622363730856958,1.05847
2.91,3.5,2.9,3.255,3047300,0.7544390559196472,56,22,2.68,0.064651259531866,1.068365
3.39,3.525,3.27,3.49,939400,0.7544390559196472,56,22,2.395,0.0803433808007814,1.072501
3.38,3.63,3.38,3.56,687600,0.7544390559196472,56,22,2.251666666666667,0.0661042997422723,1.072766
3.53,3.78,3.49,3.64,427700,0.7544390559196472,56,22,2.4350000000000005,0.0650248471375366,1.058335
3.28,3.28,2.82,3.065,1692200,0.7544390559196472,56,22,2.563333333333334,0.0657199169603786,1.061413
3.09,3.09,2.41,2.79,1638400,0.7544390559196472,56,22,2.421666666666667,0.0642452102473506,1.067886
2.79,3.41,2.625,3.36,1375900,0.7544390559196472,56,22,2.1650000000000005,0.0626420166349724,1.071915
3.36,3.36,3.08,3.09,599000,0.7544390559196472,56,22,2.0716666666666668,0.0649418577061432,1.077424
3.08,3.17,2.88,2.91,475400,0.7544390559196472,56,22,2.0800000000000005,0.070669415287696,1.087039
2.93,2.93,2.75,2.8,346000,0.7544390559196472,56,22,2.12,0.0551592687365124,1.083506
2.81,2.85,2.605,2.7,450800,0.7544390559196472,56,22,1.9333333333333336,0.0578516182596008,1.077819
2.68,2.8,2.57,2.57,372600,0.7544390559196472,56,22,1.8033333333333328,0.0554060160486108,1.080707
2.59,2.73,2.47,2.53,347200,0.7544390559196472,56,22,1.69,0.061996694709269,1.083952
2.57,2.595,2.43,2.46,441700,0.7544390559196472,56,22,1.6,0.0629502921420364,1.084363
2.51,2.83,2.44,2.67,1176000,0.7544390559196472,56,22,1.52,0.0664530173999201,1.090465
2.7,2.84,2.67,2.79,592100,0.7544390559196472,56,22,1.5533333333333332,0.0717966154603926,1.080334
2.78,2.93,2.745,2.91,369300,0.7544390559196472,56,22,1.64,0.0683303247722964,1.091227
2.87,2.93,2.825,2.85,210200,0.7544390559196472,56,22,1.7900000000000005,0.0490659893896877,1.096011
2.87,2.91,2.8,2.83,160500,0.7544390559196472,56,22,1.85,0.0590247033139544,1.090334
