Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
1.49,1.51,1.37,1.46,202600,0.9998000264167786,56,26,0.4400000000000001,0.0088374339562492,1.09075
1.39,1.56,1.39,1.49,188700,0.9998000264167786,56,26,0.4833333333333334,0.0082407997651222,1.09131
1.52,1.55,1.302,1.38,175000,0.9998000264167786,56,26,0.4433333333333333,0.0133838635016262,1.088495
1.35,1.48,1.303,1.36,105700,0.9998000264167786,56,26,0.4100000000000001,0.0126904358530193,1.085658
1.32,1.43,1.32,1.37,64000,0.9998000264167786,56,26,0.3699999999999999,0.0093168237804304,1.089064
1.39,1.65,1.33,1.55,273000,0.9998000264167786,56,26,0.4266666666666667,0.0139551126823017,1.096972
1.57,1.68,1.5,1.64,169400,0.9998000264167786,56,26,0.5200000000000002,0.0125065623922552,1.100594
1.59,1.595,1.41,1.48,108200,0.9998000264167786,56,26,0.5566666666666666,0.0116655629453361,1.101406
1.5,1.56,1.42,1.47,90800,0.9998000264167786,56,26,0.53,0.010292937708989,1.114455
1.47,1.5,1.42,1.45,38800,0.9998000264167786,56,26,0.4666666666666668,0.0094841704130397,1.122347
1.416,1.44,1.3,1.36,87900,0.9998000264167786,56,26,0.4266666666666667,0.011004286169463,1.122776
1.35,1.41,1.2,1.2,118600,0.9998000264167786,56,26,0.3366666666666666,0.0120794312652358,1.12376
1.22,1.25,1.16,1.2,51500,0.9998000264167786,56,26,0.2533333333333332,0.0147293799476698,1.122889
1.215,1.215,1.13,1.14,32100,0.9998000264167786,56,26,0.1799999999999999,0.0103245426110299,1.120523
1.1,1.21,1.1,1.16,86100,0.9998000264167786,56,26,0.1666666666666667,0.0107763318444034,1.11371
1.14,1.16,1.04,1.05,38000,0.9998000264167786,56,26,0.1166666666666664,0.0114443717958034,1.112533
1.03,1.094,1.03,1.03,56700,0.9998000264167786,56,26,0.08,0.0112284082812573,1.106317
1.01,1.1,1.01,1.05,50800,0.9998000264167786,56,26,0.0433333333333332,0.0111960256144709,1.105046
1.02,1.07,1.02,1.02,18800,0.9998000264167786,56,26,0.0333333333333334,0.0117593343190506,1.107837
1.03,1.04,1.0,1.0,113200,0.9998000264167786,56,26,0.0233333333333334,0.0122964267170835,1.097876
1.02,1.04,1.0,1.01,23700,0.9998000264167786,56,26,0.01,0.0089364670002676,1.102426
1.04,1.07,1.0,1.07,31000,0.9998000264167786,56,26,0.0266666666666666,0.0092043315584314,1.099759
1.05,1.07,1.0,1.02,21600,0.9998000264167786,56,26,0.0333333333333334,0.009133201095652,1.100788
1.02,1.03,1.0,1.03,15100,0.9998000264167786,56,26,0.04,0.0095131015190844,1.094415
1.0,1.02,1.0,1.0,6200,0.9998000264167786,56,26,0.0166666666666666,0.0107533041482141,1.095158
1.0,1.07,1.0,1.02,17800,0.9998000264167786,56,26,0.0166666666666666,0.0116607394774547,1.100267
1.01,1.04,1.0,1.019,11700,0.9998000264167786,56,26,0.0129999999999999,0.0118023303862288,1.100316
1.07,1.07,1.01,1.022,19500,0.9998000264167786,56,26,0.0203333333333333,0.0116461302159113,1.09589
1.01,1.07,1.01,1.03,26900,0.9998000264167786,56,26,0.0236666666666667,0.0078512534356594,1.097767
1.06,1.07,1.03,1.07,8600,0.9998000264167786,56,26,0.0406666666666666,0.0096813536468669,1.098165
