Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
10.66,10.7,10.5,10.6,50000,0.9997420907020568,56,26,9.713333333333331,0.1950930496099263,1.09866
10.73,10.82,10.59,10.64,40600,0.9997420907020568,56,26,9.633333333333333,0.1819218978451981,1.092538
10.6,10.98,10.6,10.7,52700,0.9997420907020568,56,26,9.646666666666668,0.2954589260889318,1.097538
10.66,10.72,10.6,10.63,54500,0.9997420907020568,56,26,9.656666666666666,0.2801509854219579,1.095218
10.65,10.76,10.61,10.75,43600,0.9997420907020568,56,26,9.693333333333332,0.205675943152835,1.097093
10.63,10.92,10.61,10.73,71700,0.9997420907020568,56,26,9.703333333333331,0.3080696845168733,1.099227
10.76,11.0,10.65,10.9,34300,0.9997420907020568,56,26,9.793333333333331,0.2760918394775136,1.10595
10.86,10.86,10.61,10.74,34900,0.9997420907020568,56,26,9.79,0.2575261395659819,1.097839
10.65,10.79,10.65,10.72,19700,0.9997420907020568,56,26,9.786666666666669,0.2272243976060154,1.104728
10.79,10.92,10.68,10.77,20900,0.9997420907020568,56,26,9.743333333333334,0.2093702468454373,1.103205
10.88,11.15,10.78,11.09,82700,0.9997420907020568,56,26,9.86,0.2429279537713272,1.101091
11.09,11.19,10.95,11.14,48800,0.9997420907020568,56,26,10.0,0.2666625962643736,1.096924
11.0,11.63,11.0,11.45,71500,0.9997420907020568,56,26,10.226666666666668,0.3251622209659845,1.101091
11.28,11.5,11.24,11.4,49900,0.9997420907020568,56,26,10.33,0.227922099761675,1.106893
11.49,12.23,11.4,11.92,90200,0.9997420907020568,56,26,10.589999999999998,0.2378956893529678,1.102293
11.8,11.8,11.26,11.33,62600,0.9997420907020568,56,26,10.55,0.252643177370995,1.101868
11.26,11.35,11.23,11.26,58600,0.9997420907020568,56,26,10.503333333333336,0.2478756191786656,1.099614
11.07,11.4,11.07,11.25,105700,0.9997420907020568,56,26,10.28,0.2471607472770332,1.096467
11.13,11.32,11.02,11.11,43200,0.9997420907020568,56,26,10.206666666666669,0.2595962136796478,1.098406
11.19,11.23,10.89,11.15,49300,0.9997420907020568,56,26,10.17,0.271452935254404,1.091215
11.25,11.3,11.0,11.01,80000,0.9997420907020568,56,26,10.089999999999998,0.1972792790816669,1.08527
11.09,11.21,10.86,10.87,196000,0.9997420907020568,56,26,10.01,0.2031925921308264,1.08737
10.98,12.09,10.5,11.0,186900,0.9997420907020568,56,26,9.96,0.2016223332782573,1.086567
11.06,11.06,9.87,10.4,300300,0.9997420907020568,56,26,9.756666666666666,0.2100089229288801,1.083835
10.3,10.72,10.15,10.37,115800,0.9997420907020568,56,26,9.590000000000002,0.237387335514364,1.07754
10.18,10.45,10.18,10.36,52900,0.9997420907020568,56,26,9.376666666666669,0.257419657858356,1.082275
10.28,10.4,9.81,9.99,189100,0.9997420907020568,56,26,9.24,0.2605453844353852,1.081105
9.82,10.13,9.67,10.02,103700,0.9997420907020568,56,26,9.123333333333331,0.2570971473421633,1.076971
9.85,10.16,9.85,10.07,78500,0.9997420907020568,56,26,9.026666666666666,0.1733223675114514,1.075732
10.16,10.17,9.96,10.11,60900,0.9997420907020568,56,26,9.066666666666666,0.2137232161134102,1.072444
