Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
0.98,1.04,0.98,1.02,74400,0.9998106360435486,56,16,-0.001,-1.847829537577332e-05,1.08527
0.989,1.07,0.989,1.05,85900,0.9998106360435486,56,16,0.0173333333333332,-1.7830642065373196e-05,1.08737
1.05,1.07,1.0,1.04,112200,0.9998106360435486,56,16,0.0366666666666668,-2.655337509860596e-05,1.086567
1.01,1.06,1.01,1.04,42200,0.9998106360435486,56,16,0.0433333333333332,-2.57255373292982e-05,1.083835
1.05,1.074,1.03,1.06,68200,0.9998106360435486,56,16,0.0466666666666668,-2.0177442446619815e-05,1.07754
1.07,1.07,1.0,1.04,87300,0.9998106360435486,56,16,0.0466666666666668,-2.8400382803079724e-05,1.082275
1.03,1.088,1.0,1.08,169000,0.9998106360435486,56,16,0.0600000000000002,-2.693208777813777e-05,1.081105
1.08,1.085,1.03,1.07,86500,0.9998106360435486,56,16,0.0633333333333332,-2.543188878594343e-05,1.076971
1.07,1.079,1.0,1.01,116800,0.9998106360435486,56,16,0.0533333333333334,-2.066254705068589e-05,1.075732
1.02,1.025,0.972,1.02,115300,0.9998106360435486,56,16,0.0333333333333334,-1.9172304762189608e-05,1.072444
0.989,1.05,0.97,0.97,89500,0.9998106360435486,56,16,0.0,-2.343830404369575e-05,1.072306
1.04,1.04,0.95,0.977,80000,0.9998106360435486,56,16,-0.011,-2.525751616323175e-05,1.070767
1.04,1.04,0.95,0.998,31500,0.9998106360435486,56,16,-0.0183333333333334,-3.127105910386526e-05,1.073307
0.998,1.03,0.98,0.985,55700,0.9998106360435486,56,16,-0.0133333333333333,-2.3841128063000848e-05,1.069519
0.97,1.01,0.96,0.99,43600,0.9998106360435486,56,16,-0.009,-2.4731435162709348e-05,1.076079
0.99,1.07,0.983,1.04,96500,0.9998106360435486,56,16,0.0049999999999998,-2.306201791734296e-05,1.069862
1.07,1.11,0.99,1.1,91300,0.9998106360435486,56,16,0.0433333333333332,-2.4132159287695883e-05,1.07118
1.1,1.1,1.07,1.1,37400,0.9998106360435486,56,16,0.08,-2.3097744805490428e-05,1.069805
1.09,1.137,1.09,1.12,104300,0.9998106360435486,56,16,0.1066666666666666,-2.601558130398575e-05,1.070744
1.14,1.14,1.09,1.12,77300,0.9998106360435486,56,16,0.1133333333333335,-2.750734693729348e-05,1.078272
1.07,1.12,1.02,1.04,97400,0.9998106360435486,56,16,0.0933333333333334,-2.0222059650344008e-05,1.075095
1.05,1.1,1.03,1.03,91000,0.9998106360435486,56,16,0.0633333333333332,-2.0840605836411664e-05,1.076299
1.01,1.05,0.985,1.0,116300,0.9998106360435486,56,16,0.0233333333333334,-2.064139331716727e-05,1.078935
1.02,1.08,1.02,1.08,165100,0.9998106360435486,56,16,0.0366666666666668,-2.245391468733912e-05,1.084305
1.06,1.09,1.04,1.05,144800,0.9998106360435486,56,16,0.0433333333333332,-2.414475067768279e-05,1.094595
0.976,0.985,0.907,0.932,422600,0.9998106360435486,56,16,0.0206666666666668,-2.3832577288511917e-05,1.094212
0.92,0.949,0.89,0.93,235700,0.9998106360435486,56,16,-0.0293333333333333,-2.424945511474357e-05,1.09243
0.93,0.943,0.871,0.887,341800,0.9998106360435486,56,16,-0.0836666666666666,-2.4866604962673115e-05,1.092037
0.87,0.899,0.81,0.896,239100,0.9998106360435486,56,16,-0.0956666666666666,-1.7118990335645197e-05,1.099264
0.86,0.865,0.8,0.84,210500,0.9998106360435486,56,16,-0.1256666666666666,-2.1255793106992863e-05,1.09589
