Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
0.663,0.688,0.631,0.665,1070200,0.9974561333656312,56,28,-0.2716666666666666,-0.0048737150465229,1.069176
0.653,0.759,0.65,0.667,2941600,0.9974561333656312,56,28,-0.305,-0.0046461314724544,1.066576
0.713,0.755,0.68,0.68,1749200,0.9974561333656312,56,28,-0.3313333333333332,-0.0064776774466346,1.068444
0.67,0.72,0.67,0.67,1047000,0.9974561333656312,56,28,-0.3293333333333333,-0.0062550717407225,1.068262
0.673,0.71,0.66,0.661,752900,0.9974561333656312,56,28,-0.3276666666666665,-0.0048989345298274,1.065201
0.68,0.72,0.66,0.702,531800,0.9974561333656312,56,28,-0.3296666666666666,-0.0068436643148561,1.06058
0.72,0.749,0.695,0.74,674900,0.9974561333656312,56,28,-0.3223333333333333,-0.0065905010146581,1.059805
0.72,0.74,0.68,0.68,585300,0.9974561333656312,56,28,-0.299,-0.0061837896332735,1.055476
0.69,0.71,0.67,0.673,611600,0.9974561333656312,56,28,-0.2926666666666667,-0.0055077529901861,1.061121
0.69,0.69,0.652,0.668,431400,0.9974561333656312,56,28,-0.3023333333333333,-0.0051501944899857,1.057731
0.675,0.69,0.653,0.68,384500,0.9974561333656312,56,28,-0.3263333333333333,-0.0059400596236217,1.066894
0.674,0.71,0.67,0.686,539400,0.9974561333656312,56,28,-0.3263333333333333,-0.0061421792712814,1.059973
0.673,0.7,0.66,0.666,360500,0.9974561333656312,56,28,-0.322,-0.0076733616228992,1.06262
0.672,0.69,0.64,0.653,302700,0.9974561333656312,56,28,-0.3226666666666666,-0.0060693339862894,1.068833
0.65,0.685,0.61,0.62,419600,0.9974561333656312,56,28,-0.3316666666666666,-0.0063009268547435,1.055075
0.627,0.648,0.592,0.594,783900,0.9974561333656312,56,28,-0.3536666666666667,-0.0060212962980612,1.054953
0.58,0.66,0.562,0.639,605100,0.9974561333656312,56,28,-0.3776666666666667,-0.0061678979001751,1.05847
0.645,0.66,0.61,0.62,265700,0.9974561333656312,56,28,-0.3823333333333333,-0.0059801998883647,1.068365
0.6,0.62,0.59,0.605,268000,0.9974561333656312,56,28,-0.3823333333333333,-0.0063745307602316,1.072501
0.604,0.625,0.565,0.57,273700,0.9974561333656312,56,28,-0.3786666666666667,-0.0066904638667707,1.072766
0.58,0.598,0.522,0.554,408700,0.9974561333656312,56,28,-0.4016666666666667,-0.0052095138635071,1.058335
0.54,0.55,0.488,0.491,475600,0.9974561333656312,56,28,-0.4236666666666666,-0.0053721053003827,1.061413
0.49,0.525,0.48,0.486,409700,0.9974561333656312,56,28,-0.4616666666666666,-0.0050098700587236,1.067886
0.482,0.518,0.45,0.45,378700,0.9974561333656312,56,28,-0.4896666666666667,-0.0057413110364764,1.071915
0.45,0.475,0.412,0.445,600000,0.9974561333656312,56,28,-0.5243333333333333,-0.0057375145523432,1.077424
0.412,0.44,0.412,0.437,367900,0.9974561333656312,56,28,-0.5396666666666667,-0.0063022083347841,1.087039
0.44,0.475,0.423,0.459,300400,0.9974561333656312,56,28,-0.556,-0.0064070791762788,1.083506
0.474,0.48,0.445,0.445,211300,0.9974561333656312,56,28,-0.5529999999999999,-0.0063080197531575,1.077819
0.451,0.48,0.43,0.462,207800,0.9974561333656312,56,28,-0.5529999999999999,-0.0044057130908818,1.080707
0.478,0.528,0.47,0.48,922700,0.9974561333656312,56,28,-0.5446666666666666,-0.0056232083871608,1.083952
