Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
3.12,3.15,2.99,3.04,5520900,0.9975805282592772,56,6,2.01,0.0471058527334647,1.08527
2.99,3.06,2.94,2.99,4435600,0.9975805282592772,56,6,2.043333333333333,0.0433263767554376,1.08737
2.99,3.04,2.93,3.02,5190900,0.9975805282592772,56,6,2.016666666666667,0.0465624463214335,1.086567
3.02,3.04,2.94,2.98,4749500,0.9975805282592772,56,6,1.996666666666668,0.0722181462284522,1.083835
3.02,3.09,2.98,3.08,5695500,0.9975805282592772,56,6,2.026666666666668,0.0481308849734826,1.07754
3.1,3.18,3.09,3.15,6210000,0.9975805282592772,56,6,2.0700000000000003,0.0568112666973541,1.082275
3.16,3.23,3.02,3.07,6277800,0.9975805282592772,56,6,2.1,0.0466825455448617,1.081105
3.04,3.16,3.0,3.14,5565800,0.9975805282592772,56,6,2.120000000000001,0.0546734750466179,1.076971
3.15,3.17,3.05,3.13,4706900,0.9975805282592772,56,6,2.1133333333333333,0.0518705126200182,1.075732
3.26,3.53,3.21,3.25,13682100,0.9975805282592772,56,6,2.173333333333334,0.0518215907928966,1.072444
3.28,3.37,3.25,3.32,5372500,0.9975805282592772,56,6,2.233333333333333,0.0616157677508589,1.072306
3.34,3.41,3.22,3.27,6495700,0.9975805282592772,56,6,2.2800000000000007,0.0698083770469222,1.070767
3.3,3.43,3.24,3.38,4133100,0.9975805282592772,56,6,2.3233333333333337,0.0450039865471665,1.073307
3.45,3.67,3.38,3.6,16808100,0.9975805282592772,56,6,2.4166666666666665,0.0670684209674569,1.069519
3.65,3.65,3.51,3.62,7673400,0.9975805282592772,56,6,2.5333333333333337,0.0516364954110184,1.076079
3.65,3.71,3.54,3.6,5755700,0.9975805282592772,56,6,2.606666666666667,0.0489855041170122,1.069862
3.62,3.68,3.53,3.56,3982800,0.9975805282592772,56,6,2.5933333333333337,0.0731852861746768,1.07118
3.56,3.71,3.55,3.69,5230700,0.9975805282592772,56,6,2.616666666666667,0.0481839170043775,1.069805
3.71,3.74,3.57,3.6,6905100,0.9975805282592772,56,6,2.616666666666667,0.0416255157370335,1.070744
3.6,3.64,3.37,3.39,10084500,0.9975805282592772,56,6,2.5600000000000005,0.0778762790016493,1.078272
3.41,3.43,3.21,3.26,11805100,0.9975805282592772,56,6,2.4166666666666674,0.0533561623381148,1.075095
3.28,3.33,3.05,3.09,10774200,0.9975805282592772,56,6,2.2466666666666666,0.0579678429591724,1.076299
3.12,3.16,2.99,3.03,11455900,0.9975805282592772,56,6,2.1266666666666665,0.0358224130073641,1.078935
3.07,3.19,2.97,3.0,20823600,0.9975805282592772,56,6,2.0400000000000005,0.0655807067172719,1.084305
2.98,3.23,2.92,3.15,8881600,0.9975805282592772,56,6,2.06,0.0467420043906322,1.094595
3.15,3.25,3.1,3.22,5377100,0.9975805282592772,56,6,2.123333333333333,0.0382127047281301,1.094212
3.21,3.27,3.12,3.12,3542200,0.9975805282592772,56,6,2.163333333333334,0.0718854476423057,1.09243
3.1,3.2,3.08,3.16,19729000,0.9975805282592772,56,6,2.1666666666666665,0.0343649397600557,1.092037
3.13,3.18,3.05,3.07,4813700,0.9975805282592772,56,6,2.116666666666667,0.0395340722730046,1.099264
3.09,3.09,3.0,3.05,3585900,0.9975805282592772,56,6,2.0933333333333337,0.0350282229886219,1.09589
