Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
1.0,1.0,0.82,0.948,580100,0.999755322933197,56,28,-0.0260000000000001,-0.0004664414400353,1.069862
0.891,0.96,0.885,0.96,206400,0.999755322933197,56,28,-0.0173333333333333,-0.0004446604354005,1.07118
0.96,0.967,0.91,0.933,119600,0.999755322933197,56,28,-0.0529999999999999,-0.0006199494979601,1.069805
0.904,0.95,0.9,0.903,181300,0.999755322933197,56,28,-0.0679999999999999,-0.000598644902793,1.070744
0.92,0.943,0.9,0.901,139400,0.999755322933197,56,28,-0.0876666666666666,-0.0004688550838362,1.078272
0.9,0.93,0.9,0.928,90600,0.999755322933197,56,28,-0.0893333333333332,-0.0006549764620353,1.075095
0.91,0.93,0.87,0.887,247600,0.999755322933197,56,28,-0.0946666666666665,-0.0006307473363721,1.076299
0.86,0.88,0.84,0.85,199600,0.999755322933197,56,28,-0.1116666666666666,-0.000591822811528,1.078935
0.841,0.88,0.84,0.85,167400,0.999755322933197,56,28,-0.1376666666666666,-0.0005271223720668,1.084305
0.85,0.87,0.824,0.824,187400,0.999755322933197,56,28,-0.1586666666666666,-0.0004929020493483,1.094595
0.83,0.85,0.8,0.8,154300,0.999755322933197,56,28,-0.1753333333333332,-0.0005684965038558,1.094212
0.8,0.829,0.785,0.79,169100,0.999755322933197,56,28,-0.1953333333333334,-0.0005878404701349,1.09243
0.8,0.8,0.755,0.771,97500,0.999755322933197,56,28,-0.2129999999999999,-0.0007343830755658,1.092037
0.76,0.77,0.739,0.739,203200,0.999755322933197,56,28,-0.2333333333333334,-0.0005808687741479,1.099264
0.74,0.75,0.73,0.741,150000,0.999755322933197,56,28,-0.2496666666666667,-0.0006030334903926,1.09589
0.74,0.746,0.727,0.74,160600,0.999755322933197,56,28,-0.2599999999999999,-0.0005762713021457,1.090667
0.85,0.86,0.75,0.788,7449900,0.999755322933197,56,28,-0.2436666666666666,-0.0005903018849247,1.091048
0.789,0.89,0.75,0.82,1871300,0.999755322933197,56,28,-0.2173333333333333,-0.000572338148825,1.095722
0.85,0.96,0.81,0.949,1757800,0.999755322933197,56,28,-0.1476666666666667,-0.0006100777905497,1.091584
0.949,0.989,0.925,0.96,353400,0.999755322933197,56,28,-0.0903333333333334,-0.0006403143332614,1.086803
0.98,0.99,0.9,0.925,1180800,0.999755322933197,56,28,-0.0553333333333333,-0.0004985792409246,1.09075
0.89,0.89,0.813,0.853,294800,0.999755322933197,56,28,-0.0873333333333333,-0.0005141401391777,1.09131
0.82,0.907,0.812,0.87,179000,0.999755322933197,56,28,-0.1173333333333332,-0.000479472226479,1.088495
0.868,0.9,0.85,0.869,93100,0.999755322933197,56,28,-0.1360000000000001,-0.0005494751666811,1.085658
0.88,0.91,0.84,0.867,326900,0.999755322933197,56,28,-0.1313333333333334,-0.0005491118221874,1.089064
0.87,0.88,0.789,0.79,445200,0.999755322933197,56,28,-0.158,-0.0006031561351081,1.096972
0.812,0.85,0.804,0.83,271000,0.999755322933197,56,28,-0.1709999999999999,-0.0006131928536806,1.100594
0.835,0.866,0.82,0.824,140800,0.999755322933197,56,28,-0.1853333333333333,-0.000603712319934,1.101406
0.9,0.96,0.891,0.938,1247800,0.999755322933197,56,28,-0.1360000000000001,-0.0004216510688205,1.114455
1.03,1.05,0.94,1.04,3146300,0.999755322933197,56,28,-0.0660000000000001,-0.0005381720910411,1.122347
