Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
4.3,4.3,4.0,4.1,42900,0.9998244643211364,56,3,3.0283333333333333,0.1620073114247378,1.06262
4.203,4.203,3.88,3.995,20400,0.9998244643211364,56,3,3.1416666666666666,0.0776977651864921,1.068833
4.0,4.05,3.9,3.92,10600,0.9998244643211364,56,3,3.121666666666666,0.1294905166048746,1.055075
3.91,3.95,3.82,3.881,38200,0.9998244643211364,56,3,3.005,0.1249972224750371,1.054953
3.89,3.94,3.82,3.94,27200,0.9998244643211364,56,3,2.932,0.0762607970514931,1.05847
3.95,3.95,3.82,3.82,12900,0.9998244643211364,56,3,2.9136666666666664,0.1420278982500568,1.068365
3.89,3.9,3.82,3.89,9500,0.9998244643211364,56,3,2.880333333333333,0.1238160507523423,1.072501
3.92,3.97,3.611,3.75,54300,0.9998244643211364,56,3,2.883333333333333,0.1096112606778983,1.072766
3.74,3.74,3.25,3.37,93400,0.9998244643211364,56,3,2.8200000000000003,0.0996004034008193,1.058335
3.37,3.544,3.17,3.31,69300,0.9998244643211364,56,3,2.67,0.0878534208463644,1.061413
3.34,3.36,3.01,3.08,87600,0.9998244643211364,56,3,2.4766666666666666,0.1081977086666948,1.067886
3.06,3.14,2.64,3.08,234200,0.9998244643211364,56,3,2.2533333333333334,0.1186280977145582,1.071915
3.08,3.14,2.95,2.95,44700,0.9998244643211364,56,3,2.1566666666666667,0.1629040055199085,1.077424
2.96,3.048,2.88,2.94,72700,0.9998244643211364,56,3,2.036666666666666,0.115082677434909,1.087039
3.017,3.11,2.92,2.96,29200,0.9998244643211364,56,3,1.99,0.1203091721925126,1.083506
2.92,2.97,2.88,2.88,15500,0.9998244643211364,56,3,1.95,0.102732768537181,1.077819
2.88,2.93,2.75,2.78,78000,0.9998244643211364,56,3,1.9266666666666672,0.1049352655097845,1.080707
2.8,2.84,2.782,2.8,66500,0.9998244643211364,56,3,1.873333333333333,0.1004663985292028,1.083952
2.806,2.9,2.7,2.82,44500,0.9998244643211364,56,3,1.82,0.123726375871687,1.084363
2.8,2.85,2.76,2.77,21600,0.9998244643211364,56,3,1.7999999999999994,0.1236499258685689,1.090465
2.771,2.8,2.5,2.5,57900,0.9998244643211364,56,3,1.7966666666666669,0.084888343423273,1.080334
2.55,2.64,2.47,2.52,46000,0.9998244643211364,56,3,1.6966666666666668,0.0916882580655995,1.091227
2.48,2.51,2.35,2.42,56700,0.9998244643211364,56,3,1.596666666666667,0.0827797364426222,1.096011
2.42,2.95,2.42,2.86,85600,0.9998244643211364,56,3,1.48,0.1070814273929519,1.090334
2.92,3.3,2.83,2.91,44000,0.9998244643211364,56,3,1.5999999999999996,0.1109901845460736,1.092013
2.9,2.9,2.83,2.85,20100,0.9998244643211364,56,3,1.73,0.1208224716125707,1.091358
2.82,2.83,2.7,2.76,21600,0.9998244643211364,56,3,1.8733333333333333,0.1222594405887078,1.086933
2.72,2.88,2.7,2.82,23900,0.9998244643211364,56,3,1.84,0.117483032139685,1.091751
2.83,2.83,2.53,2.53,12800,0.9998244643211364,56,3,1.81,0.0694506508557998,1.099989
2.55,2.72,2.55,2.58,42300,0.9998244643211364,56,3,1.7033333333333331,0.101881492681281,1.105461
