Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
0.85,0.88,0.85,0.86,6000,0.7737352252006531,56,28,-0.1266666666666666,-0.0018905156610317,1.059805
0.88,0.92,0.88,0.89,67100,0.7737352252006531,56,28,-0.1266666666666666,-0.0018156633454361,1.055476
0.9,0.98,0.9,0.92,50600,0.7737352252006531,56,28,-0.1333333333333334,-0.0018568785632888,1.061121
0.96,1.07,0.92,1.01,121200,0.7737352252006531,56,28,-0.1099999999999999,-0.0023140438897397,1.057731
1.05,1.2,1.05,1.16,166000,0.7737352252006531,56,28,-0.0599999999999999,-0.0019341325067054,1.066894
1.18,1.18,1.11,1.12,100100,0.7737352252006531,56,28,0.03,-0.0026900563384162,1.059973
1.11,1.12,1.01,1.01,53700,0.7737352252006531,56,28,0.0966666666666666,-0.0018418340518182,1.06262
1.03,1.05,1.0,1.03,102600,0.7737352252006531,56,28,0.0966666666666666,-0.0023232500125394,1.068833
1.03,1.05,1.0,1.03,79000,0.7737352252006531,56,28,0.0533333333333334,-0.0021548268006923,1.055075
1.0,1.04,1.0,1.02,23300,0.7737352252006531,56,28,0.0233333333333332,-0.0018672779151783,1.054953
1.01,1.06,1.0,1.0,85100,0.7737352252006531,56,28,0.0266666666666666,-0.0020600208096796,1.05847
1.01,1.01,0.95,0.98,85300,0.7737352252006531,56,28,0.0166666666666666,-0.0022628297743903,1.068365
0.99,1.02,0.96,1.01,4100,0.7737352252006531,56,28,0.0,-0.0021429325885853,1.072501
0.95,0.99,0.9,0.94,43800,0.7737352252006531,56,28,-0.0033333333333332,-0.0018402536799383,1.072766
0.92,0.97,0.92,0.97,8900,0.7737352252006531,56,28,-0.0233333333333334,-0.0017143805852714,1.058335
0.93,0.95,0.85,0.95,49200,0.7737352252006531,56,28,-0.0266666666666667,-0.0017928374868541,1.061413
0.95,0.95,0.87,0.94,3700,0.7737352252006531,56,28,-0.0466666666666667,-0.0017455270524768,1.067886
0.95,0.95,0.88,0.94,13100,0.7737352252006531,56,28,-0.0466666666666667,-0.0018578962620153,1.071915
0.95,0.97,0.92,0.94,3900,0.7737352252006531,56,28,-0.0566666666666666,-0.0014662917281544,1.077424
0.92,0.95,0.86,0.95,28900,0.7737352252006531,56,28,-0.06,-0.0020751065597252,1.087039
0.95,1.0,0.95,0.97,8600,0.7737352252006531,56,28,-0.0566666666666666,-0.0018951010217262,1.083506
1.0,1.05,0.93,0.96,21500,0.7737352252006531,56,28,-0.0466666666666667,-0.0018420530185032,1.077819
1.0,1.0,0.97,0.99,2200,0.7737352252006531,56,28,-0.04,-0.0017563098783233,1.080707
0.99,1.05,0.99,1.04,12000,0.7737352252006531,56,28,-0.0266666666666667,-0.002259329771488,1.083952
1.05,1.19,1.05,1.12,115800,0.7737352252006531,56,28,-0.0033333333333332,-0.002088223485634,1.084363
1.06,1.1,0.97,1.03,58100,0.7737352252006531,56,28,0.05,-0.0018529441136451,1.090465
1.04,1.07,1.0,1.03,23400,0.7737352252006531,56,28,0.0633333333333332,-0.0029922739486645,1.080334
1.04,1.14,1.04,1.1,56400,0.7737352252006531,56,28,0.0600000000000002,-0.0016905447210917,1.091227
1.14,1.18,1.12,1.13,36300,0.7737352252006531,56,28,0.0533333333333334,-0.001777061715436,1.096011
1.12,1.16,1.05,1.13,34900,0.7737352252006531,56,28,0.0866666666666666,-0.0017327418117575,1.090334
