Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
0.57,0.57,0.525,0.546,30700,0.5951332449913025,56,3,-0.4623333333333332,-0.0247335323000672,1.091215
0.546,0.57,0.53,0.535,101300,0.5951332449913025,56,3,-0.4596666666666665,-0.0118620583724451,1.08527
0.535,0.546,0.48,0.51,128300,0.5951332449913025,56,3,-0.4629999999999999,-0.0197692181101773,1.08737
0.5,0.55,0.5,0.51,82000,0.5951332449913025,56,3,-0.4696666666666665,-0.0190832303327326,1.086567
0.51,0.56,0.486,0.556,165400,0.5951332449913025,56,3,-0.4816666666666666,-0.0116426775465515,1.083835
0.51,0.56,0.491,0.502,115900,0.5951332449913025,56,3,-0.4746666666666667,-0.0216832905748848,1.07754
0.476,0.538,0.476,0.49,173100,0.5951332449913025,56,3,-0.4773333333333333,-0.0189029017494219,1.082275
0.545,0.545,0.49,0.51,108600,0.5951332449913025,56,3,-0.484,-0.0167342673153819,1.081105
0.502,0.54,0.452,0.51,148400,0.5951332449913025,56,3,-0.4993333333333333,-0.0152059173931685,1.076971
0.495,0.5,0.451,0.495,136500,0.5951332449913025,56,3,-0.4966666666666667,-0.0134125145529892,1.075732
0.479,0.506,0.45,0.479,150200,0.5951332449913025,56,3,-0.495,-0.0165184614111949,1.072444
0.466,0.48,0.41,0.436,205900,0.5951332449913025,56,3,-0.5053333333333334,-0.0181108609279132,1.072306
0.44,0.452,0.33,0.413,383600,0.5951332449913025,56,3,-0.53,-0.0248704299016084,1.070767
0.396,0.427,0.341,0.355,526200,0.5951332449913025,56,3,-0.5573333333333335,-0.017569584326056,1.073307
0.4,0.41,0.37,0.405,175400,0.5951332449913025,56,3,-0.5986666666666667,-0.0183675092824452,1.069519
0.43,0.45,0.4,0.42,88000,0.5951332449913025,56,3,-0.609,-0.0156841331822861,1.076079
0.41,0.46,0.4,0.42,139300,0.5951332449913025,56,3,-0.6066666666666667,-0.0160203867101894,1.069862
0.44,0.45,0.42,0.43,40600,0.5951332449913025,56,3,-0.585,-0.0153381282069349,1.07118
0.45,0.46,0.43,0.441,130100,0.5951332449913025,56,3,-0.5766666666666667,-0.0188892111539933,1.069805
0.46,0.46,0.41,0.42,79600,0.5951332449913025,56,3,-0.5696666666666668,-0.0188775395905013,1.070744
0.42,0.42,0.39,0.4,108300,0.5951332449913025,56,3,-0.5696666666666668,-0.0129598384510819,1.078272
0.4,0.451,0.37,0.4,215300,0.5951332449913025,56,3,-0.5796666666666666,-0.0139979762176099,1.075095
0.4,0.4,0.375,0.39,81900,0.5951332449913025,56,3,-0.5933333333333333,-0.0126379190364245,1.076299
0.373,0.42,0.37,0.37,141500,0.5951332449913025,56,3,-0.6033333333333333,-0.0163480396030846,1.078935
0.365,0.4,0.365,0.366,48200,0.5951332449913025,56,3,-0.6133333333333333,-0.0169447865674633,1.084305
0.365,0.39,0.33,0.35,4031300,0.5951332449913025,56,3,-0.6246666666666667,-0.0184458743122328,1.094595
0.457,0.535,0.406,0.443,21406400,0.5951332449913025,56,3,-0.6380000000000001,-0.0186652552665423,1.094212
0.395,0.5,0.363,0.455,1994500,0.5951332449913025,56,3,-0.6136666666666666,-0.0179360446425694,1.09243
0.47,0.55,0.445,0.51,1372400,0.5951332449913025,56,3,-0.5840000000000001,-0.0106029777365981,1.092037
0.51,0.51,0.445,0.47,227600,0.5951332449913025,56,3,-0.5306666666666666,-0.0155541695485896,1.099264
