Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
2.48,2.48,2.16,2.3,1716900,0.9998069405555724,56,26,1.4,0.0281191080426112,1.101868
2.24,2.5,2.22,2.47,1000400,0.9998069405555724,56,26,1.4166666666666663,0.0262207265253888,1.099614
2.46,2.625,2.445,2.61,1005700,0.9998069405555724,56,26,1.4600000000000004,0.0425850202324472,1.096467
2.57,2.68,2.45,2.52,1334600,0.9998069405555724,56,26,1.5333333333333337,0.0403786595323343,1.098406
2.58,2.64,2.4,2.52,1033800,0.9998069405555724,56,26,1.5500000000000005,0.0296444393013695,1.091215
2.49,3.03,2.49,3.01,1448200,0.9998069405555724,56,26,1.6833333333333336,0.0444026312618691,1.08527
2.93,2.93,2.69,2.705,776600,0.9998069405555724,56,26,1.7450000000000006,0.0397936076117212,1.08737
2.71,2.79,2.49,2.67,828400,0.9998069405555724,56,26,1.795,0.0371177002806151,1.086567
2.62,2.71,2.49,2.52,750000,0.9998069405555724,56,26,1.6316666666666668,0.0327502563467832,1.083835
2.59,2.77,2.53,2.76,783500,0.9998069405555724,56,26,1.65,0.0301769058596718,1.07754
2.76,2.96,2.76,2.89,1032300,0.9998069405555724,56,26,1.7233333333333332,0.0350136378119277,1.082275
2.88,3.0,2.815,2.88,1004700,0.9998069405555724,56,26,1.8433333333333333,0.0384345540257504,1.081105
2.83,2.935,2.7,2.89,969500,0.9998069405555724,56,26,1.8866666666666667,0.0468662089244041,1.076971
2.88,2.908,2.765,2.84,745400,0.9998069405555724,56,26,1.87,0.0328508173987314,1.075732
2.84,2.915,2.79,2.89,722200,0.9998069405555724,56,26,1.8733333333333333,0.0342883285958292,1.072444
2.88,3.02,2.68,2.76,647800,0.9998069405555724,56,26,1.83,0.0364139102593747,1.072306
2.8,3.23,2.8,3.19,4054600,0.9998069405555724,56,26,1.9466666666666668,0.0357267536221824,1.070767
3.19,3.41,2.865,3.33,1686000,0.9998069405555724,56,26,2.0933333333333337,0.0356237178642257,1.073307
3.37,3.52,3.33,3.5,1310600,0.9998069405555724,56,26,2.34,0.0374160637424338,1.069519
3.45,3.61,3.385,3.42,1495600,0.9998069405555724,56,26,2.4166666666666665,0.0391249940998111,1.076079
3.41,3.52,3.32,3.43,863500,0.9998069405555724,56,26,2.4500000000000006,0.0284342131826699,1.069862
3.46,3.53,3.23,3.26,1059100,0.9998069405555724,56,26,2.370000000000001,0.0292865095040999,1.07118
3.27,3.39,3.035,3.08,831500,0.9998069405555724,56,26,2.256666666666668,0.0290601853043473,1.069805
3.09,3.19,2.78,2.78,818100,0.9998069405555724,56,26,2.0400000000000005,0.0302689593789051,1.070744
2.77,2.99,2.75,2.97,1213800,0.9998069405555724,56,26,1.9433333333333327,0.0342150586534086,1.078272
3.01,3.32,3.0,3.25,944400,0.9998069405555724,56,26,2.0,0.0371023528828104,1.075095
3.32,3.46,3.19,3.45,1593000,0.9998069405555724,56,26,2.223333333333334,0.0375528694107281,1.076299
3.39,3.86,3.32,3.86,2196300,0.9998069405555724,56,26,2.52,0.0370558688688087,1.078935
3.97,3.97,3.135,3.19,6541700,0.9998069405555724,56,26,2.5,0.0249812609316436,1.084305
3.18,3.185,2.76,2.99,2072300,0.9998069405555724,56,26,2.346666666666667,0.0308043070582128,1.094595
