Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
2.68,2.76,2.57,2.61,41000,0.9123076796531676,56,3,1.6933333333333334,0.0905885681934692,1.08527
2.6,2.795,2.56,2.76,31100,0.9123076796531676,56,3,1.6799999999999995,0.0434457509243126,1.08737
2.68,2.776,2.565,2.74,32400,0.9123076796531676,56,3,1.7033333333333331,0.0724063648159343,1.086567
2.74,2.74,2.63,2.72,12800,0.9123076796531676,56,3,1.7400000000000002,0.069893878940362,1.083835
2.68,2.71,2.65,2.69,25100,0.9123076796531676,56,3,1.7166666666666668,0.0426422508554304,1.07754
2.66,2.71,2.6,2.64,25500,0.9123076796531676,56,3,1.6833333333333336,0.0794168104689365,1.082275
2.68,2.689,2.56,2.68,40500,0.9123076796531676,56,3,1.67,0.0692334108774792,1.081105
2.61,2.625,2.56,2.58,33900,0.9123076796531676,56,3,1.6333333333333333,0.0612906113641963,1.076971
2.568,2.64,2.43,2.43,44600,0.9123076796531676,56,3,1.5633333333333337,0.0556929058091537,1.075732
2.7,2.73,2.36,2.59,1226400,0.9123076796531676,56,3,1.5333333333333332,0.0491244224435367,1.072444
2.6,2.72,2.55,2.58,254400,0.9123076796531676,56,3,1.5333333333333332,0.0605002047360274,1.072306
2.58,2.63,2.51,2.57,66900,0.9123076796531676,56,3,1.58,0.066332497126027,1.070767
2.63,2.75,2.62,2.7,204000,0.9123076796531676,56,3,1.6166666666666667,0.0910899667629207,1.073307
2.75,3.09,2.67,2.8,239900,0.9123076796531676,56,3,1.69,0.0643500276686118,1.069519
3.19,3.2,2.95,3.0,378500,0.9123076796531676,56,3,1.8333333333333333,0.0672724925413279,1.076079
3.0,3.11,2.86,2.94,154600,0.9123076796531676,56,3,1.9133333333333336,0.057444409925028,1.069862
2.87,2.97,2.83,2.92,78700,0.9123076796531676,56,3,1.9533333333333327,0.0586759657446015,1.07118
2.95,2.97,2.85,2.88,54900,0.9123076796531676,56,3,1.9133333333333329,0.0561771386382334,1.069805
2.91,2.97,2.86,2.9,192500,0.9123076796531676,56,3,1.9,0.0691832679612735,1.070744
2.89,2.99,2.78,2.78,86600,0.9123076796531676,56,3,1.853333333333333,0.0691405199132999,1.078272
2.82,3.02,2.71,2.98,112600,0.9123076796531676,56,3,1.8866666666666667,0.0474664595036023,1.075095
2.89,3.06,2.83,2.91,67700,0.9123076796531676,56,3,1.89,0.0512687232771872,1.076299
2.895,3.004,2.88,2.99,25400,0.9123076796531676,56,3,1.9600000000000004,0.0462874035364359,1.078935
2.99,3.06,2.89,3.03,60300,0.9123076796531676,56,3,1.9766666666666663,0.0598760210408581,1.084305
3.15,3.84,3.11,3.69,867300,0.9123076796531676,56,3,2.2366666666666664,0.0620616552002261,1.094595
3.58,3.79,3.56,3.76,235300,0.9123076796531676,56,3,2.4933333333333327,0.067559510819137,1.094212
3.7,3.99,3.55,3.66,285600,0.9123076796531676,56,3,2.703333333333333,0.0683630113583528,1.09243
3.73,4.46,3.7,4.33,615200,0.9123076796531676,56,3,2.9166666666666665,0.065692218301552,1.092037
4.47,4.86,3.95,4.16,429300,0.9123076796531676,56,3,3.05,0.0388342659711021,1.099264
4.15,4.258,3.95,4.11,82700,0.9123076796531676,56,3,3.2,0.0569684075752237,1.09589
