Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
12.48,12.72,12.42,12.7,981600,0.9995352029800416,56,13,11.413333333333334,0.249674890333367,1.097093
12.68,12.85,12.6,12.7,846700,0.9995352029800416,56,13,11.543333333333331,0.2626246221520846,1.099227
12.56,12.79,12.55,12.69,1005800,0.9995352029800416,56,13,11.626666666666669,0.2370239773358559,1.10595
12.57,12.69,12.25,12.3,1453000,0.9995352029800416,56,13,11.696666666666664,0.3686188923447987,1.097839
12.39,12.64,12.27,12.39,689600,0.9995352029800416,56,13,11.563333333333333,0.2342954157269018,1.104728
12.39,12.64,12.39,12.49,730600,0.9995352029800416,56,13,11.46,0.4892943286871807,1.103205
12.48,12.61,12.37,12.53,934400,0.9995352029800416,56,13,11.393333333333333,0.2719246603502951,1.101091
12.47,12.47,12.06,12.15,1146100,0.9995352029800416,56,13,11.47,0.2945848744191735,1.096924
12.23,12.36,11.84,11.85,949300,0.9995352029800416,56,13,11.39,0.3067892038657088,1.101091
11.83,12.1,11.61,11.99,944400,0.9995352029800416,56,13,11.176666666666668,0.2928425709213776,1.106893
12.17,12.32,12.15,12.28,667800,0.9995352029800416,56,13,10.996666666666668,0.266883085153499,1.102293
12.26,12.26,12.02,12.04,566600,0.9995352029800416,56,13,11.04,0.3580989842695922,1.101868
12.04,12.07,11.8,11.9,647200,0.9995352029800416,56,13,11.103333333333332,0.346859179994913,1.099614
11.94,12.26,11.8,11.9,898200,0.9995352029800416,56,13,11.073333333333332,0.3999500062492189,1.096467
11.86,12.51,11.67,11.88,670700,0.9995352029800416,56,13,10.946666666666667,0.2616523080377602,1.098406
11.9,12.0,11.57,11.77,1111500,0.9995352029800416,56,13,10.893333333333333,0.3109929749557103,1.091215
11.84,12.02,11.78,11.98,951900,0.9995352029800416,56,13,10.85,0.2496722468413835,1.08527
11.91,12.05,11.66,11.81,864700,0.9995352029800416,56,13,10.876666666666669,0.3959592634704382,1.08737
11.88,12.02,11.69,11.96,1358800,0.9995352029800416,56,13,10.853333333333332,0.1910556643468023,1.086567
11.95,12.01,11.82,11.91,2156900,0.9995352029800416,56,13,10.916666666666666,0.3509153828636458,1.083835
12.16,12.34,12.06,12.1,1214400,0.9995352029800416,56,13,10.893333333333333,0.2925861789774608,1.07754
12.1,12.31,11.82,12.22,790700,0.9995352029800416,56,13,10.99,0.2822575306828527,1.082275
12.16,12.67,12.1,12.27,1499100,0.9995352029800416,56,13,11.076666666666668,0.2244790628659975,1.081105
12.19,12.27,12.03,12.16,674700,0.9995352029800416,56,13,11.196666666666667,0.2743872375636128,1.076971
12.07,12.07,11.64,11.89,677100,0.9995352029800416,56,13,11.216666666666669,0.3365012409269477,1.075732
11.86,12.06,11.64,11.9,565200,0.9995352029800416,56,13,11.106666666666667,0.2964965469236267,1.072444
11.87,12.04,11.81,11.97,1399900,0.9995352029800416,56,13,10.983333333333334,0.402972828474286,1.072306
11.97,12.2,11.73,11.78,1236500,0.9995352029800416,56,13,10.920000000000002,0.2511814754248747,1.070767
11.8,11.99,11.69,11.89,859500,0.9995352029800416,56,13,10.883333333333333,0.2021759529406182,1.073307
12.0,12.31,12.0,12.3,646300,0.9995352029800416,56,13,10.88,0.3116939958760627,1.069519
