Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
1.71,1.74,1.58,1.68,732800,0.9971843361854552,56,6,0.7883333333333333,0.0184751810472046,1.102293
1.71,1.9,1.67,1.9,751800,0.9971843361854552,56,6,0.7450000000000001,0.0169928492581442,1.101868
1.9,1.95,1.805,1.945,300000,0.9971843361854552,56,6,0.7683333333333333,0.0182620539884229,1.099614
1.95,1.978,1.8,1.885,463800,0.9971843361854552,56,6,0.8416666666666668,0.0283243641509601,1.096467
1.88,1.89,1.678,1.72,239300,0.9971843361854552,56,6,0.91,0.0188772044713576,1.098406
1.75,1.85,1.73,1.8,394600,0.9971843361854552,56,6,0.8499999999999999,0.0222816991275692,1.091215
1.93,1.93,1.8,1.91,459800,0.9971843361854552,56,6,0.8016666666666667,0.0183091575810278,1.08527
1.92,1.99,1.86,1.96,368400,0.9971843361854552,56,6,0.8099999999999998,0.0214432451882672,1.08737
1.95,2.09,1.87,2.03,648200,0.9971843361854552,56,6,0.8899999999999999,0.0203439075201232,1.086567
2.04,2.1,1.92,2.1,465100,0.9971843361854552,56,6,0.9666666666666668,0.0203247201036816,1.083835
2.06,2.3,2.04,2.26,866500,0.9971843361854552,56,6,1.0299999999999998,0.0241660515308095,1.07754
2.25,2.35,2.1,2.15,538000,0.9971843361854552,56,6,1.13,0.0273792390905424,1.082275
2.15,2.16,1.97,2.1,564300,0.9971843361854552,56,6,1.17,0.01765081727762,1.081105
2.16,2.21,2.11,2.2,483900,0.9971843361854552,56,6,1.17,0.0263046128670042,1.076971
2.22,2.22,1.98,2.08,540500,0.9971843361854552,56,6,1.15,0.0202521246512534,1.075732
2.12,2.2,2.072,2.17,642600,0.9971843361854552,56,6,1.126666666666667,0.019212390918198,1.072444
2.14,2.195,1.81,1.83,817100,0.9971843361854552,56,6,1.15,0.0287036818910631,1.072306
1.83,1.87,1.69,1.74,399200,0.9971843361854552,56,6,1.0266666666666668,0.0188980039328943,1.070767
1.75,1.76,1.55,1.73,736500,0.9971843361854552,56,6,0.9133333333333332,0.016325761976465,1.073307
1.77,1.81,1.73,1.81,537000,0.9971843361854552,56,6,0.7666666666666666,0.0305435157278442,1.069519
1.81,1.845,1.63,1.66,561500,0.9971843361854552,56,6,0.76,0.0209265877163584,1.076079
1.66,1.66,1.56,1.61,543800,0.9971843361854552,56,6,0.7333333333333332,0.0227353148587799,1.069862
1.64,1.66,1.581,1.66,349000,0.9971843361854552,56,6,0.6933333333333334,0.0140497523652431,1.07118
1.66,1.699,1.56,1.59,349700,0.9971843361854552,56,6,0.6433333333333333,0.0257211229496431,1.069805
1.6,1.634,1.52,1.57,347800,0.9971843361854552,56,6,0.6200000000000001,0.0183324776755962,1.070744
1.56,1.71,1.56,1.71,388600,0.9971843361854552,56,6,0.6066666666666667,0.014987238255726,1.078272
1.64,1.73,1.62,1.69,387300,0.9971843361854552,56,6,0.6233333333333333,0.028193877889561,1.075095
1.64,1.69,1.54,1.55,370200,0.9971843361854552,56,6,0.656666666666667,0.0134781231397233,1.076299
1.55,1.65,1.53,1.64,229900,0.9971843361854552,56,6,0.6500000000000001,0.0155054860573227,1.078935
1.67,1.695,1.58,1.68,354700,0.9971843361854552,56,6,0.6266666666666667,0.0137382665618724,1.084305
