Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
0.605,0.665,0.605,0.649,352900,0.8091210126876831,56,3,-0.3583333333333333,-0.0191698249622006,1.055476
0.638,0.657,0.62,0.65,379700,0.8091210126876831,56,3,-0.3573333333333334,-0.009193736662133,1.061121
0.631,0.647,0.622,0.63,282900,0.8091210126876831,56,3,-0.357,-0.0153222130269939,1.057731
0.636,0.67,0.63,0.66,402900,0.8091210126876831,56,3,-0.3533333333333334,-0.0147905354056868,1.066894
0.644,0.677,0.62,0.665,286500,0.8091210126876831,56,3,-0.3483333333333333,-0.0090237046593676,1.059973
0.68,0.77,0.67,0.74,1219400,0.8091210126876831,56,3,-0.3116666666666666,-0.0168057226878163,1.06262
0.78,0.8,0.74,0.767,711800,0.8091210126876831,56,3,-0.2760000000000001,-0.0146507710026161,1.068833
0.75,0.752,0.701,0.726,737000,0.8091210126876831,56,3,-0.2556666666666668,-0.0129699620504942,1.055075
0.749,0.78,0.73,0.765,936200,0.8091210126876831,56,3,-0.2473333333333333,-0.0117854082174882,1.054953
0.81,0.842,0.705,0.74,2781600,0.8091210126876831,56,3,-0.2563333333333334,-0.010395424040709,1.05847
0.84,0.87,0.73,0.77,3836400,0.8091210126876831,56,3,-0.2416666666666667,-0.0128027008053601,1.068365
0.77,0.776,0.645,0.717,1596400,0.8091210126876831,56,3,-0.2576666666666667,-0.0140368965374958,1.072501
0.695,0.735,0.66,0.7,1034700,0.8091210126876831,56,3,-0.2709999999999999,-0.019275928005933,1.072766
0.705,0.72,0.69,0.715,636400,0.8091210126876831,56,3,-0.2893333333333333,-0.0136173779023145,1.058335
0.715,0.73,0.681,0.69,456900,0.8091210126876831,56,3,-0.2983333333333333,-0.0142358128901432,1.061413
0.684,0.689,0.557,0.6,865500,0.8091210126876831,56,3,-0.3316666666666666,-0.012156051312875,1.067886
0.6,0.624,0.589,0.606,431800,0.8091210126876831,56,3,-0.368,-0.0124166659794186,1.071915
0.598,0.65,0.598,0.622,246300,0.8091210126876831,56,3,-0.3906666666666666,-0.0118878787472639,1.077424
0.624,0.677,0.59,0.6,331200,0.8091210126876831,56,3,-0.3906666666666667,-0.01464016005086,1.087039
0.6,0.61,0.563,0.599,249400,0.8091210126876831,56,3,-0.3929999999999999,-0.0146311139580309,1.083506
0.59,0.63,0.59,0.62,213600,0.8091210126876831,56,3,-0.3936666666666667,-0.0100445755839315,1.077819
0.61,0.71,0.61,0.69,999400,0.8091210126876831,56,3,-0.3636666666666667,-0.0108491884887748,1.080707
0.69,0.747,0.69,0.73,671200,0.8091210126876831,56,3,-0.3199999999999999,-0.0097950706302497,1.083952
0.75,0.78,0.73,0.75,506000,0.8091210126876831,56,3,-0.2766666666666667,-0.0126706146887642,1.084363
0.78,0.869,0.691,0.75,1483400,0.8091210126876831,56,3,-0.2566666666666667,-0.0131331258543785,1.090465
0.75,0.75,0.6,0.69,642800,0.8091210126876831,56,3,-0.27,-0.0142965500257032,1.080334
0.706,0.73,0.659,0.69,410100,0.8091210126876831,56,3,-0.29,-0.0144665821279978,1.091227
0.715,0.715,0.67,0.69,151400,0.8091210126876831,56,3,-0.31,-0.0139014044634189,1.096011
0.68,0.688,0.645,0.645,356400,0.8091210126876831,56,3,-0.325,-0.0082178810864044,1.090334
0.678,0.69,0.643,0.679,533900,0.8091210126876831,56,3,-0.3286666666666665,-0.0120553224691664,1.092013
