Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
0.86,0.89,0.82,0.87,2628000,0.9997945427894592,56,28,-0.0899999999999999,-0.0016146049847376,1.097093
0.87,0.88,0.79,0.81,3208900,0.9997945427894592,56,28,-0.1099999999999999,-0.0015392091994634,1.099227
0.79,0.87,0.78,0.78,2635100,0.9997945427894592,56,28,-0.1533333333333333,-0.0021459790314004,1.10595
0.78,0.82,0.77,0.8,2372400,0.9997945427894592,56,28,-0.1799999999999998,-0.0020722323558221,1.097839
0.8,0.82,0.77,0.79,1671700,0.9997945427894592,56,28,-0.2033333333333331,-0.001622959905587,1.104728
0.76,0.81,0.73,0.75,2160900,0.9997945427894592,56,28,-0.2099999999999999,-0.0022672262147376,1.103205
0.75,0.78,0.74,0.77,1460700,0.9997945427894592,56,28,-0.2199999999999998,-0.0021833561643652,1.101091
0.76,0.78,0.72,0.76,1481000,0.9997945427894592,56,28,-0.2299999999999998,-0.00204861742452,1.096924
0.75,0.85,0.75,0.8,2371900,0.9997945427894592,56,28,-0.2399999999999998,-0.0018246543648469,1.101091
0.76,0.82,0.75,0.79,2917500,0.9997945427894592,56,28,-0.2233333333333332,-0.0017061994015903,1.106893
0.79,0.84,0.78,0.82,1270000,0.9997945427894592,56,28,-0.2166666666666664,-0.001967872513347,1.102293
0.79,0.81,0.72,0.77,1882600,0.9997945427894592,56,28,-0.1966666666666666,-0.0020348323966208,1.101868
0.74,0.78,0.73,0.77,3045600,0.9997945427894592,56,28,-0.2066666666666665,-0.0025420952615739,1.099614
0.79,0.79,0.73,0.75,3929700,0.9997945427894592,56,28,-0.2133333333333332,-0.0020106996028198,1.096467
0.74,0.77,0.72,0.74,3148500,0.9997945427894592,56,28,-0.2366666666666664,-0.0020874236205898,1.098406
0.74,0.75,0.71,0.73,2300600,0.9997945427894592,56,28,-0.2466666666666666,-0.0019947852766583,1.091215
0.73,0.78,0.72,0.76,1341900,0.9997945427894592,56,28,-0.2599999999999999,-0.0020433526785856,1.08527
0.72,0.75,0.71,0.72,1899700,0.9997945427894592,56,28,-0.2566666666666665,-0.0019811705151637,1.08737
0.71,0.72,0.68,0.7,2917200,0.9997945427894592,56,28,-0.2633333333333333,-0.0021118077365184,1.086567
0.71,0.71,0.65,0.67,3593400,0.9997945427894592,56,28,-0.2733333333333333,-0.002216472692059,1.083835
0.7,0.74,0.68,0.72,2515900,0.9997945427894592,56,28,-0.3033333333333332,-0.0017258512185851,1.07754
0.73,0.76,0.72,0.73,2445500,0.9997945427894592,56,28,-0.3033333333333333,-0.0017797158663844,1.082275
0.73,0.74,0.67,0.67,3992000,0.9997945427894592,56,28,-0.2933333333333333,-0.0016597115531967,1.081105
0.69,0.69,0.65,0.65,2647500,0.9997945427894592,56,28,-0.2933333333333333,-0.0019020294231271,1.076971
0.65,0.67,0.63,0.64,3056100,0.9997945427894592,56,28,-0.3166666666666665,-0.0019007716921873,1.075732
0.64,0.65,0.62,0.63,1653700,0.9997945427894592,56,28,-0.3466666666666665,-0.0020878481599898,1.072444
0.64,0.65,0.61,0.62,3036300,0.9997945427894592,56,28,-0.3599999999999999,-0.0021225906473561,1.072306
0.63,0.65,0.58,0.58,7064800,0.9997945427894592,56,28,-0.37,-0.0020897734151564,1.070767
0.62,0.62,0.59,0.6,4505000,0.9997945427894592,56,28,-0.39,-0.0014595613920712,1.073307
0.61,0.62,0.6,0.62,2678800,0.9997945427894592,56,28,-0.3999999999999999,-0.0018629033920655,1.069519
