Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
1.83,1.85,1.75,1.76,208400,0.9972811937332152,56,9,0.8966666666666667,0.0146424734466772,1.095218
1.82,1.82,1.74,1.76,158100,0.9972811937332152,56,9,0.8399999999999999,0.0126555152288425,1.097093
1.74,1.74,1.58,1.59,303300,0.9972811937332152,56,9,0.7966666666666669,0.0211009486641373,1.099227
1.58,1.58,1.53,1.54,199100,0.9972811937332152,56,9,0.7033333333333334,0.0231677237263586,1.10595
1.51,1.7,1.51,1.61,298200,0.9972811937332152,56,9,0.6300000000000001,0.0123387511000524,1.097839
1.61,1.89,1.61,1.82,479100,0.9972811937332152,56,9,0.5800000000000001,0.0372844263671804,1.104728
1.79,1.79,1.58,1.59,515600,0.9972811937332152,56,9,0.656666666666667,0.0216712252773816,1.103205
1.6,1.68,1.59,1.66,235700,0.9972811937332152,56,9,0.6733333333333336,0.0304880833869254,1.101091
1.66,1.68,1.59,1.63,176100,0.9972811937332152,56,9,0.6900000000000002,0.0114216294071036,1.096924
1.6,1.67,1.57,1.62,201900,0.9972811937332152,56,9,0.6266666666666667,0.0139447456302143,1.101091
1.62,1.62,1.54,1.55,216500,0.9972811937332152,56,9,0.6366666666666667,0.0215844459754155,1.106893
1.63,1.63,1.56,1.6,115500,0.9972811937332152,56,9,0.5999999999999999,0.0232786276928785,1.102293
1.64,1.67,1.46,1.66,419800,0.9972811937332152,56,9,0.5900000000000001,0.0171436750864417,1.101868
1.61,1.71,1.55,1.61,516000,0.9972811937332152,56,9,0.6033333333333335,0.0256145504358353,1.099614
1.61,1.69,1.55,1.59,602700,0.9972811937332152,56,9,0.6233333333333333,0.0266269776222524,1.096467
1.6,1.63,1.55,1.62,294700,0.9972811937332152,56,9,0.6199999999999999,0.0278054660956891,1.098406
1.65,1.67,1.55,1.59,244400,0.9972811937332152,56,9,0.6066666666666667,0.0259656790480677,1.091215
1.63,1.63,1.58,1.59,82400,0.9972811937332152,56,9,0.5999999999999999,0.0226242612316631,1.08527
1.58,1.63,1.57,1.6,170100,0.9972811937332152,56,9,0.6000000000000003,0.0166117737088606,1.08737
1.62,1.62,1.57,1.61,135500,0.9972811937332152,56,9,0.5933333333333335,0.0201223911151609,1.086567
1.61,1.61,1.48,1.57,230500,0.9972811937332152,56,9,0.6000000000000003,0.0219584621811405,1.083835
1.57,1.57,1.46,1.49,276000,0.9972811937332152,56,9,0.5933333333333335,0.0219257705889506,1.07754
1.5,1.5,1.41,1.47,201800,0.9972811937332152,56,9,0.5566666666666666,0.0160684188255946,1.082275
1.48,1.6,1.47,1.57,181900,0.9972811937332152,56,9,0.5099999999999998,0.0281016765878121,1.081105
1.66,1.89,1.45,1.45,8374800,0.9972811937332152,56,9,0.51,0.0134842770322158,1.076971
1.45,1.46,1.27,1.33,832900,0.9972811937332152,56,9,0.4966666666666668,0.0229163988472284,1.075732
1.34,1.42,1.34,1.35,259000,0.9972811937332152,56,9,0.4499999999999999,0.0317217370172246,1.072444
1.4,1.4,1.27,1.33,273700,0.9972811937332152,56,9,0.3766666666666667,0.0168853603298231,1.072306
1.32,1.35,1.27,1.32,154500,0.9972811937332152,56,9,0.3366666666666666,0.0125924161635317,1.070767
1.29,1.46,1.29,1.44,220700,0.9972811937332152,56,9,0.3333333333333332,0.0157729074713987,1.073307
