Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
2.26,2.34,2.205,2.27,251800,0.9997798800468444,56,26,1.27,0.025508048010083,1.101868
2.25,2.295,2.17,2.23,311400,0.9997798800468444,56,26,1.2466666666666666,0.0237859447766027,1.099614
2.24,2.4,2.065,2.13,581900,0.9997798800468444,56,26,1.21,0.0386306969251486,1.096467
2.14,2.17,2.065,2.09,466100,0.9997798800468444,56,26,1.15,0.0366292125757604,1.098406
2.1,2.13,2.015,2.08,174200,0.9997798800468444,56,26,1.1,0.0268917413662423,1.091215
2.05,2.21,2.05,2.2,236200,0.9997798800468444,56,26,1.1233333333333335,0.0402795297875527,1.08527
2.17,2.17,2.055,2.06,132400,0.9997798800468444,56,26,1.1133333333333333,0.0360984869049185,1.08737
1.98,2.085,1.955,2.07,337300,0.9997798800468444,56,26,1.11,0.0336710566831294,1.086567
2.06,2.115,2.015,2.02,142500,0.9997798800468444,56,26,1.0500000000000005,0.0297091611145819,1.083835
2.06,2.18,2.02,2.17,207200,0.9997798800468444,56,26,1.0866666666666664,0.0273747646012737,1.07754
2.18,2.19,2.085,2.1,314300,0.9997798800468444,56,26,1.096666666666667,0.0317623714436773,1.082275
2.12,2.36,2.12,2.19,482900,0.9997798800468444,56,26,1.1533333333333329,0.0348656311519308,1.081105
2.15,2.15,1.96,2.03,310800,0.9997798800468444,56,26,1.1066666666666665,0.042514346667138,1.076971
2.05,2.08,1.92,1.94,297700,0.9997798800468444,56,26,1.0533333333333332,0.0298003843545635,1.075732
1.94,1.97,1.9,1.93,200500,0.9997798800468444,56,26,0.9666666666666666,0.0311044123690736,1.072444
1.9,1.99,1.81,1.81,361900,0.9997798800468444,56,26,0.8933333333333333,0.0330326185924327,1.072306
1.83,1.87,1.75,1.8,549200,0.9997798800468444,56,26,0.8466666666666667,0.0324092693572654,1.070767
1.8,1.98,1.78,1.92,419900,0.9997798800468444,56,26,0.8433333333333335,0.0323158012054048,1.073307
1.96,2.065,1.945,2.06,405200,0.9997798800468444,56,26,0.9266666666666664,0.0339417149663506,1.069519
2.08,2.45,2.01,2.42,687000,0.9997798800468444,56,26,1.1333333333333333,0.0354919589334001,1.076079
2.44,2.6,2.39,2.54,301800,0.9997798800468444,56,26,1.34,0.0257938933871362,1.069862
2.56,2.59,2.155,2.17,452800,0.9997798800468444,56,26,1.3766666666666665,0.0265670479072906,1.07118
2.15,2.259,2.1,2.13,224500,0.9997798800468444,56,26,1.2799999999999998,0.0263617395260865,1.069805
2.13,2.239,2.11,2.19,175200,0.9997798800468444,56,26,1.1633333333333336,0.0274582702937211,1.070744
2.2,2.329,2.18,2.31,139200,0.9997798800468444,56,26,1.2100000000000004,0.0310379460641636,1.078272
2.34,2.38,2.29,2.31,110400,0.9997798800468444,56,26,1.27,0.0336571344008351,1.075095
2.32,2.32,2.09,2.15,233800,0.9997798800468444,56,26,1.2566666666666664,0.0340658172511605,1.076299
2.12,2.18,2.12,2.15,104500,0.9997798800468444,56,26,1.2033333333333331,0.0336149667595622,1.078935
2.07,2.149,2.02,2.09,264600,0.9997798800468444,56,26,1.13,0.0226615724165624,1.084305
2.06,2.095,2.015,2.07,71900,0.9997798800468444,56,26,1.1033333333333335,0.0279439071170931,1.094595
