Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
1.41,1.44,1.36,1.42,390000,0.9998457431793212,56,8,0.5266666666666666,0.0081870672318852,1.08527
1.43,1.43,1.375,1.38,201500,0.9998457431793212,56,8,0.4566666666666668,0.0079269838493724,1.08737
1.39,1.46,1.36,1.44,312500,0.9998457431793212,56,8,0.4033333333333333,0.0112849408642314,1.086567
1.44,1.47,1.4,1.45,182500,0.9998457431793212,56,8,0.4133333333333331,0.0110572292794871,1.083835
1.49,1.58,1.46,1.52,330600,0.9998457431793212,56,8,0.4233333333333331,0.0082453752707731,1.07754
1.55,1.785,1.54,1.75,1029900,0.9998457431793212,56,8,0.47,0.0113186621837027,1.082275
1.78,1.935,1.7,1.72,974700,0.9998457431793212,56,8,0.5733333333333335,0.01123878609217,1.081105
1.74,1.75,1.62,1.67,290700,0.9998457431793212,56,8,0.6633333333333333,0.0102330915616489,1.076971
1.68,1.706,1.57,1.57,283000,0.9998457431793212,56,8,0.7133333333333332,0.0096587550825683,1.075732
1.61,1.665,1.59,1.63,210600,0.9998457431793212,56,8,0.6533333333333333,0.0090825095985743,1.072444
1.68,1.69,1.59,1.59,414200,0.9998457431793212,56,8,0.6233333333333333,0.0106007391935695,1.072306
1.58,1.642,1.471,1.51,521400,0.9998457431793212,56,8,0.5966666666666667,0.0098846041903252,1.070767
1.53,1.57,1.455,1.54,333500,0.9998457431793212,56,8,0.5766666666666669,0.0129754740299952,1.073307
1.6,1.7,1.56,1.69,457600,0.9998457431793212,56,8,0.5466666666666669,0.0100511529893884,1.069519
1.68,1.73,1.65,1.66,543300,0.9998457431793212,56,8,0.5800000000000001,0.0105709192939749,1.076079
1.67,1.89,1.67,1.83,535900,0.9998457431793212,56,8,0.6299999999999999,0.0104867678891981,1.069862
1.85,1.91,1.77,1.77,534000,0.9998457431793212,56,8,0.7266666666666666,0.0098366864138146,1.07118
1.76,1.82,1.68,1.69,282300,0.9998457431793212,56,8,0.7533333333333332,0.0099569701343201,1.069805
1.74,1.74,1.58,1.6,390800,0.9998457431793212,56,8,0.7633333333333334,0.011016345670225,1.070744
1.6,1.64,1.58,1.61,541500,0.9998457431793212,56,8,0.6866666666666665,0.0109121931112305,1.078272
1.59,1.705,1.58,1.68,598100,0.9998457431793212,56,8,0.6333333333333335,0.0076766644142944,1.075095
1.72,1.78,1.61,1.61,430700,0.9998457431793212,56,8,0.6299999999999999,0.0085088430305332,1.076299
1.65,1.669,1.59,1.6,518800,0.9998457431793212,56,8,0.6333333333333335,0.0085879907678664,1.078935
1.65,1.65,1.45,1.46,1915600,0.9998457431793212,56,8,0.6300000000000001,0.0102781494933425,1.084305
1.46,1.485,1.38,1.44,2225000,0.9998457431793212,56,8,0.5566666666666666,0.0091905729756855,1.094595
1.4,1.52,1.39,1.49,2050500,0.9998457431793212,56,8,0.5,0.0108254414152529,1.094212
1.5,1.56,1.45,1.55,922400,0.9998457431793212,56,8,0.4633333333333331,0.0106911518403396,1.09243
1.53,1.6,1.461,1.55,3031400,0.9998457431793212,56,8,0.4933333333333334,0.009949269430813,1.092037
1.54,1.55,1.48,1.52,881400,0.9998457431793212,56,8,0.53,0.0078537664476758,1.099264
1.49,1.63,1.47,1.6,1030800,0.9998457431793212,56,8,0.54,0.0092639140177442,1.09589
