Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
6.41,6.715,6.29,6.41,120500,0.9993927478790284,56,28,5.5,0.0820881800184832,1.052222
6.5,6.695,6.35,6.39,181200,0.9993927478790284,56,28,5.43,0.0788380136834123,1.065632
6.38,6.553,6.235,6.48,315300,0.9993927478790284,56,28,5.390000000000001,0.0806276218270172,1.073318
6.49,6.648,6.415,6.62,265300,0.9993927478790284,56,28,5.426666666666667,0.1004782215281714,1.073895
6.7,6.7,6.43,6.57,158000,0.9993927478790284,56,28,5.496666666666667,0.0839820693701054,1.0766
6.56,6.6,6.26,6.34,182500,0.9993927478790284,56,28,5.556666666666668,0.1168050778522833,1.086024
6.41,6.63,6.23,6.4,290900,0.9993927478790284,56,28,5.510000000000001,0.0799743733026348,1.082462
6.44,6.49,6.2,6.22,138200,0.9993927478790284,56,28,5.436666666666667,0.1008779610707913,1.083013
6.19,6.24,6.03,6.14,110100,0.9993927478790284,56,28,5.32,0.0935648479247997,1.079331
6.19,6.56,6.08,6.34,173000,0.9993927478790284,56,28,5.253333333333333,0.0810791726327424,1.079785
6.22,6.39,6.09,6.15,219900,0.9993927478790284,56,28,5.233333333333333,0.0894482719992495,1.083388
6.18,6.18,5.73,5.78,366300,0.9993927478790284,56,28,5.210000000000001,0.0982544507301091,1.086508
5.74,5.83,5.5,5.74,359100,0.9993927478790284,56,28,5.09,0.0930483887148884,1.087429
5.78,5.98,5.65,5.75,212900,0.9993927478790284,56,28,4.890000000000001,0.0799057518920592,1.088815
5.82,6.01,5.67,5.69,152000,0.9993927478790284,56,28,4.756666666666667,0.0744402096236303,1.092204
5.75,5.89,5.5,5.59,250900,0.9993927478790284,56,28,4.726666666666667,0.0778468908765637,1.089443
5.6,6.2,5.59,6.18,298400,0.9993927478790284,56,28,4.676666666666667,0.0757926220154415,1.087146
6.14,6.965,6.11,6.84,733000,0.9993927478790284,56,28,4.82,0.0806718113769842,1.085069
6.85,7.17,6.73,7.07,853200,0.9993927478790284,56,28,5.203333333333333,0.0636679303014433,1.086095
6.97,8.19,6.93,8.03,814200,0.9993927478790284,56,28,5.696666666666666,0.0901033111459663,1.101285
8.07,8.389,7.16,7.69,2521400,0.9993927478790284,56,28,6.313333333333333,0.082287281206535,1.090513
7.74,8.035,7.59,7.83,512600,0.9993927478790284,56,28,6.596666666666667,0.0799838810665865,1.079086
7.84,7.85,7.45,7.59,231200,0.9993927478790284,56,28,6.8500000000000005,0.0762608236640386,1.073076
7.59,7.79,7.25,7.51,1183500,0.9993927478790284,56,28,6.703333333333333,0.0981024769198761,1.072973
7.51,7.99,7.28,7.77,264500,0.9993927478790284,56,28,6.6433333333333335,0.090672861876216,1.071582
7.73,8.49,7.62,8.1,397600,0.9993927478790284,56,28,6.623333333333334,0.0804567838819608,1.074229
8.05,8.28,7.87,8.04,409900,0.9993927478790284,56,28,6.793333333333333,0.1299276846130659,1.067771
8.0,9.28,7.98,9.25,753300,0.9993927478790284,56,28,6.969999999999999,0.0734052313105609,1.073042
9.09,9.87,8.8,9.4,4616900,0.9993927478790284,56,28,7.463333333333333,0.0771618902755114,1.073572
9.4,10.38,9.4,9.47,609700,0.9993927478790284,56,28,7.896666666666666,0.075237473405263,1.069176
