Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
2.72,2.72,2.52,2.59,1024100,0.9983029365539552,56,28,1.9966666666666664,0.029800496867316,1.078272
2.66,2.66,2.53,2.58,902700,0.9983029365539552,56,28,1.7400000000000002,0.0286205879977963,1.075095
2.58,2.73,2.58,2.64,1443100,0.9983029365539552,56,28,1.6366666666666667,0.0292702699844747,1.076299
2.68,2.68,2.45,2.45,1100900,0.9983029365539552,56,28,1.6033333333333335,0.0364766392093179,1.078935
2.5,2.5,2.41,2.46,673600,0.9983029365539552,56,28,1.5566666666666666,0.0304880360925413,1.084305
2.5,2.5,2.355,2.37,1275300,0.9983029365539552,56,28,1.516666666666667,0.0424037828081925,1.094595
2.36,2.37,2.27,2.29,1011800,0.9983029365539552,56,28,1.4266666666666663,0.029033120974714,1.094212
2.27,2.375,2.22,2.34,1137200,0.9983029365539552,56,28,1.3733333333333335,0.0366217567766084,1.09243
2.34,2.34,2.08,2.1,2624700,0.9983029365539552,56,28,1.3333333333333337,0.0339668750951242,1.092037
2.03,2.16,2.01,2.155,2494200,0.9983029365539552,56,28,1.2433333333333336,0.0294341966103107,1.099264
2.14,2.18,2.1,2.15,1461600,0.9983029365539552,56,28,1.1983333333333328,0.0324724332894245,1.09589
2.15,2.16,2.01,2.12,2144900,0.9983029365539552,56,28,1.1349999999999998,0.0356693430226275,1.090667
2.09,2.235,2.08,2.22,975500,0.9983029365539552,56,28,1.1416666666666666,0.0337793847516473,1.091048
2.24,2.31,2.195,2.24,738600,0.9983029365539552,56,28,1.1633333333333336,0.0290082093232384,1.095722
2.25,2.35,2.25,2.31,703600,0.9983029365539552,56,28,1.1933333333333334,0.0270240518573057,1.091584
2.34,2.34,2.23,2.26,438900,0.9983029365539552,56,28,1.2566666666666668,0.0282607803848858,1.086803
2.25,2.25,2.16,2.18,782200,0.9983029365539552,56,28,1.27,0.0275150185377269,1.09075
2.17,2.17,2.055,2.11,788200,0.9983029365539552,56,28,1.25,0.02928631213019,1.09131
2.1,2.2,2.1,2.18,667900,0.9983029365539552,56,28,1.1833333333333331,0.0231133880306451,1.088495
2.16,2.34,2.16,2.29,695500,0.9983029365539552,56,28,1.1566666666666667,0.0327102323493538,1.085658
2.29,2.33,2.27,2.32,380800,0.9983029365539552,56,28,1.1933333333333334,0.0298727766319481,1.089064
2.35,2.415,2.27,2.36,1676600,0.9983029365539552,56,28,1.2633333333333332,0.0290365725811426,1.096972
2.39,2.54,2.38,2.39,644400,0.9983029365539552,56,28,1.3233333333333328,0.0276849899240964,1.100594
2.4,2.41,2.315,2.33,534300,0.9983029365539552,56,28,1.356666666666667,0.0356141719242459,1.101406
2.36,2.44,2.3,2.36,1133300,0.9983029365539552,56,28,1.36,0.0329169965235475,1.114455
2.37,2.45,2.35,2.39,876100,0.9983029365539552,56,28,1.36,0.0292082506335118,1.122347
2.41,2.445,2.29,2.29,1175800,0.9983029365539552,56,28,1.36,0.0471676867171069,1.122776
2.3,2.35,2.23,2.25,1085900,0.9983029365539552,56,28,1.346666666666667,0.0266483233666824,1.12376
2.27,2.39,2.22,2.35,1066400,0.9983029365539552,56,28,1.31,0.0280121044091099,1.122889
2.37,2.375,2.285,2.3,677400,0.9983029365539552,56,28,1.2966666666666669,0.027313482769547,1.120523
