Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
10.92,11.28,10.46,10.85,104700,0.9997418522834778,56,16,9.853333333333332,0.1820728037692864,1.072306
10.89,11.29,10.54,11.2,273500,0.9997418522834778,56,16,9.793333333333331,0.1756912598174771,1.070767
11.2,11.34,10.685,11.29,262500,0.9997418522834778,56,16,9.99,0.2616392559715973,1.073307
11.41,12.2,11.36,12.17,198800,0.9997418522834778,56,16,10.113333333333332,0.2534822944846849,1.069519
12.14,12.87,12.11,12.5,463600,0.9997418522834778,56,16,10.553333333333333,0.1988150662406939,1.076079
12.34,13.49,12.3,13.2,450600,0.9997418522834778,56,16,10.986666666666666,0.2798384385530121,1.069862
13.15,13.4,12.86,13.08,137300,0.9997418522834778,56,16,11.623333333333337,0.2653708382405841,1.07118
13.07,13.2,12.69,12.69,95800,0.9997418522834778,56,16,11.926666666666668,0.2505888775041625,1.069805
12.71,12.71,11.68,11.76,150000,0.9997418522834778,56,16,11.99,0.2035949636060916,1.070744
11.82,12.33,11.735,12.09,228000,0.9997418522834778,56,16,11.51,0.1889111095901082,1.078272
11.74,12.76,11.74,12.46,500800,0.9997418522834778,56,16,11.18,0.2309454225105487,1.075095
12.48,12.82,12.23,12.53,342800,0.9997418522834778,56,16,11.103333333333332,0.2488707259283768,1.076299
12.35,13.01,12.12,12.93,381800,0.9997418522834778,56,16,11.36,0.3081241690367523,1.078935
13.08,13.2,12.71,13.0,731700,0.9997418522834778,56,16,11.64,0.2349145818474349,1.084305
13.0,13.87,12.82,13.82,537300,0.9997418522834778,56,16,11.82,0.243687074469896,1.094595
13.45,14.0,13.12,13.5,541800,0.9997418522834778,56,16,12.25,0.2272377498788859,1.094212
13.5,13.81,13.0,13.13,317000,0.9997418522834778,56,16,12.44,0.2377822095147634,1.09243
13.0,13.04,10.9,11.11,1224300,0.9997418522834778,56,16,12.483333333333334,0.2275897788167656,1.092037
11.12,11.12,9.97,10.435,382800,0.9997418522834778,56,16,11.58,0.2563401944486062,1.099264
10.42,11.07,10.06,11.02,187200,0.9997418522834778,56,16,10.558333333333332,0.2710390584887984,1.09589
10.92,11.18,10.64,10.99,256400,0.9997418522834778,56,16,9.855,0.1992546944213895,1.090667
10.95,11.0,10.45,10.5,213400,0.9997418522834778,56,16,9.815,0.2053494361747762,1.091048
10.62,11.03,10.46,10.63,154300,0.9997418522834778,56,16,9.836666666666666,0.2033865288184881,1.095722
10.59,10.77,10.33,10.66,91100,0.9997418522834778,56,16,9.706666666666669,0.2212459060525814,1.091584
10.29,10.503,9.83,10.28,183700,0.9997418522834778,56,16,9.596666666666666,0.2379062766774343,1.086803
10.16,10.16,9.85,10.02,202900,0.9997418522834778,56,16,9.523333333333332,0.2348303282161373,1.09075
10.02,10.33,10.0,10.1,134200,0.9997418522834778,56,16,9.32,0.2389379643972733,1.09131
10.1,10.33,9.96,10.02,125000,0.9997418522834778,56,16,9.133333333333333,0.245018947565539,1.088495
10.04,10.26,9.905,10.15,123400,0.9997418522834778,56,16,9.046666666666663,0.1686791181072239,1.085658
10.39,10.46,10.1,10.16,117500,0.9997418522834778,56,16,9.089999999999998,0.2094404147475696,1.089064
