Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
0.763,0.795,0.722,0.74,452700,0.9997723698616028,56,26,-0.3109999999999999,-0.0062464590008943,1.07754
0.75,0.79,0.75,0.782,335700,0.9997723698616028,56,26,-0.2949999999999999,-0.0058247471067113,1.082275
0.78,0.81,0.752,0.779,585300,0.9997723698616028,56,26,-0.2593333333333333,-0.0094599580659222,1.081105
0.78,0.799,0.73,0.745,175900,0.9997723698616028,56,26,-0.2329999999999999,-0.0089698307961114,1.076971
0.75,0.789,0.7,0.702,339400,0.9997723698616028,56,26,-0.2313333333333332,-0.0065853004448042,1.075732
0.702,0.741,0.683,0.7,92300,0.9997723698616028,56,26,-0.258,-0.0098637273731723,1.072444
0.69,0.73,0.675,0.68,72600,0.9997723698616028,56,26,-0.2843333333333332,-0.0088398656908895,1.072306
0.728,0.728,0.68,0.699,107000,0.9997723698616028,56,26,-0.306,-0.008245431990908,1.070767
0.72,0.76,0.71,0.75,218700,0.9997723698616028,56,26,-0.307,-0.0072752355170354,1.073307
0.762,0.79,0.73,0.79,283900,0.9997723698616028,56,26,-0.2903333333333333,-0.0067035840873985,1.069519
0.792,0.885,0.79,0.83,386400,0.9997723698616028,56,26,-0.2536666666666667,-0.0077780295425068,1.076079
0.87,0.89,0.85,0.86,204500,0.9997723698616028,56,26,-0.2099999999999999,-0.0085379616442917,1.069862
0.863,0.889,0.85,0.85,118500,0.9997723698616028,56,26,-0.1733333333333333,-0.0104109935539211,1.07118
0.847,0.86,0.82,0.842,100200,0.9997723698616028,56,26,-0.1533333333333333,-0.0072975744364324,1.069805
0.838,0.87,0.832,0.86,108900,0.9997723698616028,56,26,-0.1493333333333334,-0.0076169072809306,1.070744
0.86,0.87,0.82,0.825,178000,0.9997723698616028,56,26,-0.1493333333333333,-0.008089090064761,1.078272
0.855,0.86,0.78,0.789,231300,0.9997723698616028,56,26,-0.1576666666666667,-0.0079364431260705,1.075095
0.78,0.798,0.73,0.735,144400,0.9997723698616028,56,26,-0.1753333333333332,-0.0079135544684101,1.076299
0.77,0.787,0.74,0.765,153700,0.9997723698616028,56,26,-0.2169999999999999,-0.0083117113027835,1.078935
0.742,0.83,0.742,0.766,189600,0.9997723698616028,56,26,-0.2370000000000001,-0.0086913379750294,1.084305
0.78,0.82,0.68,0.695,665600,0.9997723698616028,56,26,-0.2446666666666667,-0.0063164573570073,1.094595
0.695,0.77,0.663,0.7,1228800,0.9997723698616028,56,26,-0.258,-0.0065057888969821,1.094212
0.71,0.719,0.686,0.716,126500,0.9997723698616028,56,26,-0.2796666666666666,-0.0064555125926085,1.09243
0.695,0.726,0.66,0.66,408500,0.9997723698616028,56,26,-0.2963333333333334,-0.006724033119171,1.092037
0.67,0.719,0.5,0.605,811400,0.9997723698616028,56,26,-0.3079999999999999,-0.0076006308865786,1.099264
0.622,0.628,0.569,0.62,444500,0.9997723698616028,56,26,-0.3396666666666667,-0.00824202267611,1.09589
0.6,0.626,0.57,0.59,301800,0.9997723698616028,56,26,-0.3716666666666666,-0.0083421017048117,1.090667
0.59,0.679,0.582,0.665,344200,0.9997723698616028,56,26,-0.395,-0.0082316965844282,1.091048
0.66,0.69,0.64,0.661,261400,0.9997723698616028,56,26,-0.375,-0.0055494086783865,1.095722
0.67,0.69,0.623,0.631,105100,0.9997723698616028,56,26,-0.3613333333333334,-0.0068429567822172,1.091584
