Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
1.35,1.43,1.35,1.37,72000,0.999800145626068,56,26,0.3899999999999999,0.0078331800975845,1.082275
1.36,1.43,1.36,1.4,122700,0.999800145626068,56,26,0.3799999999999999,0.0073043452463583,1.081105
1.37,1.44,1.37,1.42,112700,0.999800145626068,56,26,0.3833333333333335,0.011862969921896,1.076971
1.39,1.45,1.39,1.435,79300,0.999800145626068,56,26,0.3966666666666667,0.0112483408697217,1.075732
1.43,1.44,1.34,1.35,85400,0.999800145626068,56,26,0.4183333333333332,0.0082580938053815,1.072444
1.39,1.4,1.343,1.37,39500,0.999800145626068,56,26,0.4016666666666666,0.0123693044229492,1.072306
1.35,1.369,1.32,1.335,76700,0.999800145626068,56,26,0.385,0.011085362120408,1.070767
1.34,1.4,1.29,1.39,52700,0.999800145626068,56,26,0.3516666666666668,0.010339930792457,1.073307
1.39,1.4,1.36,1.39,30400,0.999800145626068,56,26,0.365,0.0091232856966039,1.069519
1.37,1.6,1.37,1.58,188300,0.999800145626068,56,26,0.3716666666666663,0.0084064237751942,1.076079
1.45,1.61,1.45,1.57,239800,0.999800145626068,56,26,0.4533333333333331,0.0097537991047512,1.069862
1.56,1.62,1.45,1.51,262500,0.999800145626068,56,26,0.5133333333333334,0.010706768621459,1.07118
1.53,1.55,1.43,1.55,158700,0.999800145626068,56,26,0.5533333333333335,0.0130555867717982,1.069805
1.56,1.77,1.51,1.75,483300,0.999800145626068,56,26,0.5433333333333337,0.0091512991325037,1.070744
1.82,1.823,1.59,1.7,233000,0.999800145626068,56,26,0.6033333333333335,0.0095517486802667,1.078272
1.65,1.75,1.64,1.66,205000,0.999800145626068,56,26,0.6666666666666667,0.0101438750008258,1.075095
1.66,1.71,1.58,1.6,93700,0.999800145626068,56,26,0.7033333333333331,0.0099524527947508,1.076299
1.587,1.63,1.53,1.58,122600,0.999800145626068,56,26,0.6533333333333333,0.0099237499764628,1.078935
1.52,1.57,1.45,1.46,136100,0.999800145626068,56,26,0.6133333333333333,0.0104230463282494,1.084305
1.46,1.53,1.42,1.49,70700,0.999800145626068,56,26,0.5466666666666669,0.0108991054992331,1.094595
1.49,1.53,1.44,1.47,35400,0.999800145626068,56,26,0.51,0.0079209593866009,1.094212
1.43,1.52,1.41,1.5,37500,0.999800145626068,56,26,0.4733333333333334,0.0081583847904278,1.09243
1.44,1.51,1.41,1.49,113800,0.999800145626068,56,26,0.4866666666666666,0.0080953373347824,1.092037
1.5,1.74,1.5,1.69,174000,0.999800145626068,56,26,0.4866666666666666,0.0084320672555521,1.099264
1.66,1.7,1.56,1.66,69800,0.999800145626068,56,26,0.5599999999999998,0.0095313377677352,1.09589
1.64,1.75,1.62,1.71,51800,0.999800145626068,56,26,0.6133333333333333,0.0103356554459257,1.090667
1.73,1.73,1.64,1.65,225100,0.999800145626068,56,26,0.6866666666666665,0.0104611564787028,1.091048
1.3,1.37,1.2,1.28,998800,0.999800145626068,56,26,0.6733333333333331,0.0103227063277395,1.095722
1.27,1.27,1.14,1.15,315400,0.999800145626068,56,26,0.5466666666666666,0.0069590655452435,1.091584
1.19,1.2,1.13,1.14,131900,0.999800145626068,56,26,0.3600000000000001,0.0085811998233593,1.086803
