Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
3.99,4.51,3.9,4.34,271500,0.9998185038566588,56,26,3.29,0.0660799039001363,1.099227
4.21,4.52,4.03,4.47,165400,0.9998185038566588,56,26,3.3200000000000003,0.0616187073346638,1.10595
4.29,5.6,4.29,5.6,485600,0.9998185038566588,56,26,3.803333333333333,0.1000747975462511,1.097839
5.19,5.49,4.87,5.33,195400,0.9998185038566588,56,26,4.133333333333334,0.0948898499009857,1.104728
5.21,5.34,5.13,5.26,60400,0.9998185038566588,56,26,4.396666666666666,0.0696644323582183,1.103205
5.26,6.24,5.183,6.04,288400,0.9998185038566588,56,26,4.543333333333333,0.1043461834653925,1.101091
6.19,6.19,5.68,6.1,87800,0.9998185038566588,56,26,4.8,0.0935149778875449,1.096924
6.01,6.29,5.931,6.23,119500,0.9998185038566588,56,26,5.123333333333334,0.0872265956594455,1.101091
6.16,7.4,6.16,7.33,177400,0.9998185038566588,56,26,5.553333333333334,0.0769631024149407,1.106893
6.78,8.19,6.64,7.96,205000,0.9998185038566588,56,26,6.173333333333333,0.0709157287702288,1.102293
7.92,8.66,7.92,8.66,148500,0.9998185038566588,56,26,6.983333333333333,0.0822820488580302,1.101868
8.73,8.73,7.38,7.79,172700,0.9998185038566588,56,26,7.136666666666667,0.0903212019605136,1.099614
7.81,7.88,5.57,5.98,213100,0.9998185038566588,56,26,6.476666666666667,0.1101355909723496,1.096467
5.98,6.73,5.81,6.1,151500,0.9998185038566588,56,26,5.623333333333334,0.077199420887019,1.098406
6.72,7.45,6.629,7.23,149800,0.9998185038566588,56,26,5.436666666666667,0.0805775722001987,1.091215
7.24,7.715,7.22,7.68,53900,0.9998185038566588,56,26,6.003333333333334,0.0855726891095306,1.08527
7.37,7.59,6.79,7.05,47300,0.9998185038566588,56,26,6.32,0.0839578710121287,1.08737
6.91,7.21,6.842,7.18,19800,0.9998185038566588,56,26,6.303333333333332,0.0837157369809306,1.086567
7.02,7.075,6.4,6.78,50500,0.9998185038566588,56,26,6.003333333333333,0.0879277497947194,1.083835
6.78,6.95,6.36,6.9,46900,0.9998185038566588,56,26,5.953333333333333,0.0919437361345562,1.07754
6.9,7.226,6.82,7.04,32100,0.9998185038566588,56,26,5.906666666666666,0.0668204009792743,1.082275
7.0,7.725,7.0,7.38,66300,0.9998185038566588,56,26,6.1066666666666665,0.0688232973346347,1.081105
7.31,7.31,6.63,6.95,21600,0.9998185038566588,56,26,6.123333333333334,0.0682914354652162,1.076971
7.0,7.48,6.73,7.06,41300,0.9998185038566588,56,26,6.13,0.0711320545404271,1.075732
7.13,7.13,6.5,6.6,32300,0.9998185038566588,56,26,5.87,0.0804053878355104,1.072444
6.7,6.7,6.31,6.53,17400,0.9998185038566588,56,26,5.73,0.0871905292746044,1.072306
6.6,6.6,6.25,6.29,20500,0.9998185038566588,56,26,5.473333333333334,0.0882492431152111,1.070767
6.25,6.425,6.06,6.1,28600,0.9998185038566588,56,26,5.306666666666666,0.0870812918417004,1.073307
6.02,6.42,5.8,6.06,55100,0.9998185038566588,56,26,5.15,0.0587059631893625,1.069519
6.02,6.2,5.82,5.82,14900,0.9998185038566588,56,26,4.993333333333333,0.0723901215868002,1.076079
