Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
9.68,9.83,9.29,8.67269,1176400,0.9594049453735352,60,2,8.9,0.1662547347573829,1.068365
10.01,10.13,9.6,8.681668,1009100,0.9594049453735352,60,2,8.71,0.1583944145502177,1.072501
9.42,9.42,8.85,8.187881,1507400,0.9594049453735352,60,2,8.483333333333333,0.2134847165451878,1.072766
9.01,9.3,8.74,8.214816,1153300,0.9594049453735352,60,2,8.313333333333333,0.2028493542233828,1.058335
9.08,9.18,8.73,7.927521,1206100,0.9594049453735352,60,2,8.033333333333333,0.1619424535125991,1.061413
8.9,9.15,8.88,8.06219,1018900,0.9594049453735352,60,2,7.986666666666666,0.2140813216043389,1.067886
9.19,9.37,9.16,8.331529,797600,0.9594049453735352,60,2,8.030000000000001,0.2023647848530367,1.071915
9.21,9.28,8.9,7.999345,1034000,0.9594049453735352,60,2,8.056666666666667,0.1949353176142458,1.077424
9.01,9.11,8.54,7.738985,1082600,0.9594049453735352,60,2,7.936666666666666,0.1851935277567123,1.087039
8.52,8.91,8.41,7.972411,882900,0.9594049453735352,60,2,7.803333333333335,0.1825536324111544,1.083506
9.08,9.14,8.87,8.080147,996800,0.9594049453735352,60,2,7.833333333333334,0.1959389387339447,1.077819
8.93,9.13,8.9,8.071168,737700,0.9594049453735352,60,2,7.956666666666667,0.2000572973090832,1.080707
9.11,9.15,9.02,8.214816,671500,0.9594049453735352,60,2,8.046666666666667,0.2453058723056147,1.083952
8.87,8.94,8.79,8.336171,753200,0.9594049453735352,60,2,8.023333333333333,0.1998736977891723,1.084363
8.95,9.1,8.88,8.485531,775300,0.9594049453735352,60,2,8.056666666666667,0.1941337873650009,1.090465
9.16,9.33,9.06,8.494865,710400,0.9594049453735352,60,2,8.040000000000001,0.1994484197925799,1.080334
9.15,9.21,9.01,8.532206,611100,0.9594049453735352,60,2,8.11,0.2001122742281045,1.091227
9.07,9.24,9.01,8.569546,559700,0.9594049453735352,60,2,8.14,0.1912332654777544,1.096011
9.18,9.23,9.07,8.522871,475300,0.9594049453735352,60,2,8.15,0.2085996396804516,1.090334
9.1,9.14,8.24,7.972105,2451600,0.9594049453735352,60,2,7.950000000000001,0.2174669450243563,1.092013
8.62,8.79,8.5,8.046785,1447800,0.9594049453735352,60,2,7.763333333333334,0.1709548809731443,1.091358
8.74,8.84,8.61,8.09346,587300,0.9594049453735352,60,2,7.609999999999999,0.1725344870268605,1.086933
8.66,8.8,8.38,8.1308,887000,0.9594049453735352,60,2,7.666666666666666,0.1612188872455028,1.091751
8.81,8.94,8.57,8.084125,640200,0.9594049453735352,60,2,7.68,0.1886956466430196,1.099989
8.62,8.97,8.53,8.35484,670500,0.9594049453735352,60,2,7.773333333333333,0.1915965742532523,1.105461
8.93,8.96,8.69,8.196145,845500,0.9594049453735352,60,2,7.796666666666665,0.2089129297855379,1.09866
8.73,9.16,8.72,8.494865,870100,0.9594049453735352,60,2,7.943333333333333,0.2014694913051539,1.092538
9.0,9.05,8.87,8.35484,442000,0.9594049453735352,60,2,7.943333333333333,0.198007069964797,1.097538
8.96,8.96,8.75,8.270824,386700,0.9594049453735352,60,2,7.969999999999999,0.1426779892285171,1.095218
8.75,8.76,8.38,8.065454,944500,0.9594049453735352,60,2,7.816666666666665,0.1858472670407639,1.097093
