Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
4.77,4.955,4.73,4.85,49600,0.5357081294059753,60,3,3.5733333333333333,0.1957884229940207,1.077819
4.87,4.95,4.513,4.74,57500,0.5357081294059753,60,3,3.703333333333333,0.0931791829778043,1.080707
4.77,4.8,4.39,4.49,54900,0.5357081294059753,60,3,3.770000000000001,0.1396455519726223,1.083952
4.5,4.7,4.49,4.65,38500,0.5357081294059753,60,3,3.693333333333333,0.1321455812366686,1.084363
4.5,4.83,4.25,4.25,86100,0.5357081294059753,60,3,3.626666666666667,0.0879143885092154,1.090465
4.31,4.31,3.84,4.07,44000,0.5357081294059753,60,3,3.463333333333334,0.1450326401909582,1.080334
4.11,4.39,3.58,3.85,30200,0.5357081294059753,60,3,3.3233333333333333,0.1217114519395083,1.091227
3.77,4.0,3.53,3.9,22800,0.5357081294059753,60,3,3.056666666666666,0.1163297520481252,1.096011
3.81,4.02,3.62,4.02,23300,0.5357081294059753,60,3,2.94,0.1179927833764546,1.090334
4.02,4.42,4.02,4.4,47300,0.5357081294059753,60,3,2.9233333333333333,0.1134797611809957,1.092013
4.78,5.04,4.63,4.84,53800,0.5357081294059753,60,3,3.1066666666666665,0.1228858701149542,1.091358
4.85,5.32,4.703,5.07,25400,0.5357081294059753,60,3,3.42,0.1301575853825261,1.086933
5.08,5.5,5.04,5.5,57700,0.5357081294059753,60,3,3.770000000000001,0.1647462661611169,1.091751
5.35,5.65,5.249,5.5,43800,0.5357081294059753,60,3,4.136666666666667,0.1297952551286167,1.099989
5.42,5.5,5.04,5.09,22800,0.5357081294059753,60,3,4.3566666666666665,0.121521452668352,1.105461
5.09,5.18,4.67,5.08,32800,0.5357081294059753,60,3,4.363333333333333,0.1157323326632193,1.09866
5.05,5.36,4.78,4.94,54500,0.5357081294059753,60,3,4.223333333333334,0.1185583368176434,1.092538
4.9,5.025,4.36,4.51,71700,0.5357081294059753,60,3,4.036666666666666,0.1077543747069925,1.097538
4.6,4.99,4.56,4.97,24700,0.5357081294059753,60,3,3.8433333333333337,0.1360953685248026,1.095218
4.9,4.912,4.58,4.64,18800,0.5357081294059753,60,3,3.806666666666666,0.1353355367524165,1.097093
4.6,4.6,3.9,4.02,27100,0.5357081294059753,60,3,3.706666666666667,0.0938564763748496,1.099227
4.04,4.44,4.04,4.07,10800,0.5357081294059753,60,3,3.543333333333333,0.1003319752951229,1.10595
4.25,4.51,4.08,4.26,29300,0.5357081294059753,60,3,3.243333333333333,0.0914885192320303,1.097839
4.26,4.9,4.2,4.9,19200,0.5357081294059753,60,3,3.1166666666666663,0.1227654497942275,1.104728
4.95,4.95,4.4,4.69,18100,0.5357081294059753,60,3,3.41,0.1194369430542259,1.103205
4.52,4.53,4.31,4.31,7900,0.5357081294059753,60,3,3.616666666666666,0.13574524264842,1.101091
4.35,4.465,4.31,4.4,11200,0.5357081294059753,60,3,3.633333333333333,0.1289565434372613,1.096924
4.36,4.52,4.13,4.19,22200,0.5357081294059753,60,3,3.466666666666668,0.1209119781439869,1.101091
4.32,4.54,4.25,4.4,11600,0.5357081294059753,60,3,3.3,0.076888858181162,1.106893
4.46,4.89,4.4,4.89,8800,0.5357081294059753,60,3,3.33,0.116902227927458,1.102293
