Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
4.84,4.89,4.63,4.384931,601400,0.999803364276886,60,1,3.8033333333333337,0.0645234892814608,1.091358
4.77,4.78,4.7,4.37568,607300,0.999803364276886,60,1,3.773333333333333,0.0566603369472547,1.086933
4.8,4.805,4.62,4.310924,346600,0.999803364276886,60,1,3.71,0.055960101477587,1.091751
4.66,4.68,4.48,4.236916,640700,0.999803364276886,60,1,3.656666666666667,0.0689237759578357,1.099989
4.64,4.695,4.55,4.255418,1070400,0.999803364276886,60,1,3.613333333333333,0.0569128939927268,1.105461
4.58,4.85,4.545,4.486691,1051600,0.999803364276886,60,1,3.6766666666666654,0.0770652473152791,1.09866
4.83,4.85,4.6,4.283171,711800,0.999803364276886,60,1,3.693333333333333,0.0531703608184489,1.092538
4.58,4.7,4.58,4.255418,873100,0.999803364276886,60,1,3.693333333333333,0.0705785584232327,1.097538
4.59,4.61,4.46,4.162909,510800,0.999803364276886,60,1,3.576666666666667,0.0665529398830852,1.095218
4.49,4.49,4.35,4.0704,716900,0.999803364276886,60,1,3.5,0.0579469551236636,1.097093
4.39,4.4,4.26,3.996393,460500,0.999803364276886,60,1,3.406666666666667,0.0623924912031235,1.099227
4.25,4.3,4.18,3.913135,770200,0.999803364276886,60,1,3.316666666666668,0.0663371749766943,1.10595
4.23,4.38,4.2,3.950138,692800,0.999803364276886,60,1,3.273333333333333,0.0701387861549306,1.097839
4.3,4.42,4.27,4.0704,350500,0.999803364276886,60,1,3.3,0.0543046333346159,1.104728
4.405,4.515,4.4,4.135156,561700,0.999803364276886,60,1,3.38,0.0496427138614421,1.103205
4.47,4.49,4.33,4.014894,363300,0.999803364276886,60,1,3.4033333333333333,0.0548924600900303,1.101091
4.31,4.34,4.065,3.820626,732900,0.999803364276886,60,1,3.313333333333333,0.0537053414315904,1.096924
4.1,4.24,4.07,3.76512,518200,0.999803364276886,60,1,3.18,0.0544484840988475,1.101091
4.04,4.08,3.97,3.728117,655600,0.999803364276886,60,1,3.076666666666667,0.0446607837337362,1.106893
4.14,4.185,4.08,3.820626,598800,0.999803364276886,60,1,3.076666666666667,0.0542144518832437,1.102293
4.14,4.2,4.095,3.802124,439200,0.999803364276886,60,1,3.09,0.0569776327086966,1.101868
4.08,4.16,4.07,3.792872,400800,0.999803364276886,60,1,3.1133333333333333,0.0566946408260344,1.099614
4.33,4.38,4.1,3.922385,823100,0.999803364276886,60,1,3.1499999999999995,0.0520298314703142,1.096467
4.21,4.35,4.18,3.996393,642700,0.999803364276886,60,1,3.22,0.0631065292415524,1.098406
4.32,4.325,4.24,3.987142,352700,0.999803364276886,60,1,3.29,0.0643884203864777,1.091215
4.35,4.368,4.28,3.977891,413400,0.999803364276886,60,1,3.31,0.0586886607695107,1.08527
4.26,4.31,4.2,3.894632,283400,0.999803364276886,60,1,3.2733333333333325,0.0709462673862968,1.08737
4.22,4.36,4.155,4.024145,498700,0.999803364276886,60,1,3.286666666666666,0.0507789965360001,1.086567
4.37,4.43,4.3,4.088902,308100,0.999803364276886,60,1,3.326666666666666,0.0528280508523465,1.083835
4.46,4.67,4.45,4.246167,655600,0.999803364276886,60,1,3.453333333333333,0.0480246202572057,1.07754
