Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
2.99,3.07,2.91,2.89771,1143900,0.9997621178627014,60,28,1.8833333333333333,0.0284435927811873,1.077819
2.91,2.98,2.82,2.877863,749400,0.9997621178627014,60,28,1.9266666666666663,0.0275835052786529,1.080707
2.9,3.005,2.885,2.977099,581500,0.9997621178627014,60,28,1.94,0.0270167831364969,1.083952
3.01,3.11,3.0,3.036641,525000,0.9997621178627014,60,28,1.9866666666666668,0.0332392943689617,1.084363
3.09,3.22,3.005,3.046565,1440800,0.9997621178627014,60,28,2.043333333333333,0.0276684283130488,1.090465
3.07,3.24,2.95,2.957252,785400,0.9997621178627014,60,28,2.036666666666666,0.0374484992000271,1.080334
2.99,3.035,2.86,2.977099,1034900,0.9997621178627014,60,28,2.016666666666667,0.0257394523255002,1.091227
2.97,2.97,2.89,2.907634,704800,0.9997621178627014,60,28,1.97,0.0329815711589247,1.096011
2.91,2.965,2.74,2.758779,753200,0.9997621178627014,60,28,1.903333333333333,0.0321046809431693,1.090334
2.8,2.8,2.63,2.669466,1110300,0.9997621178627014,60,28,1.8000000000000005,0.0279664149590324,1.092013
2.7,2.7,2.56,2.550382,1237000,0.9997621178627014,60,28,1.6799999999999995,0.0301779039246209,1.091358
2.6,2.64,2.42,2.480916,1576300,0.9997621178627014,60,28,1.5866666666666664,0.0315052762053345,1.086933
2.51,2.51,2.36,2.361832,1208800,0.9997621178627014,60,28,1.4833333333333334,0.0308084071508221,1.091751
2.4,2.449,2.145,2.212977,1191000,0.9997621178627014,60,28,1.3699999999999997,0.0262851147325486,1.099989
2.22,2.23,2.135,2.163359,1362400,0.9997621178627014,60,28,1.2633333333333332,0.0242851598717863,1.105461
2.16,2.21,2.005,2.024427,1975600,0.9997621178627014,60,28,1.15,0.0263678300153269,1.09866
2.01,2.115,1.98,2.00458,1651500,0.9997621178627014,60,28,1.08,0.0255422402877439,1.092538
2.0,2.02,1.93,1.945038,1160000,0.9997621178627014,60,28,1.0066666666666664,0.0265450387087741,1.097538
1.95,1.98,1.835,1.915115,1717900,0.9997621178627014,60,28,0.9666666666666668,0.0208550973807547,1.095218
1.95,2.06,1.89,1.994911,1523400,0.9997621178627014,60,28,0.96,0.0301877427548669,1.097093
1.97,2.06,1.95,1.955013,1503700,0.9997621178627014,60,28,0.96,0.0276728739126887,1.099227
2.0,2.384,2.0,2.094656,2470100,0.9997621178627014,60,28,1.02,0.0262230341925623,1.10595
2.09,2.125,1.94,1.994911,888800,0.9997621178627014,60,28,1.02,0.025309058318028,1.097839
1.98,2.1,1.98,2.054758,1951700,0.9997621178627014,60,28,1.0533333333333332,0.032620503169818,1.104728
2.09,2.16,2.06,2.074707,1258300,0.9997621178627014,60,28,1.0466666666666669,0.0298181341859314,1.103205
2.09,2.09,1.94,1.994911,1249400,0.9997621178627014,60,28,1.0466666666666669,0.0271791352753667,1.101091
2.03,2.12,2.0,2.044784,1878300,0.9997621178627014,60,28,1.0433333333333334,0.0420361007521262,1.096924
2.03,2.065,1.965,2.034809,1282400,0.9997621178627014,60,28,1.0299999999999998,0.0240534335318486,1.101091
2.05,2.1,2.0,2.024835,1026600,0.9997621178627014,60,28,1.0399999999999996,0.0256046388173394,1.106893
2.08,2.08,1.88,1.915115,1092500,0.9997621178627014,60,28,0.9966666666666668,0.0254694975043949,1.102293
