Open,High,Low,Adj Close,Volume,score,industry,event,3 MA,MA_ratio,EUR/USD
8.54,8.72,8.229,8.229,1400,0.9998276233673096,60,7,8.446666666666667,0.16670205960592,1.106893
8.12,8.91,8.12,8.635,3700,0.9998276233673096,60,7,7.846333333333334,0.1601990443412621,1.102293
8.87,8.9,8.59,8.6,3000,0.9998276233673096,60,7,7.497999999999999,0.2150102654249968,1.101868
8.48,8.835,8.14,8.601,4600,0.9998276233673096,60,7,7.487999999999999,0.2042129255483272,1.099614
9.27,9.27,8.45,8.53,3500,0.9998276233673096,60,7,7.612,0.1626428354219972,1.096467
8.39,8.81,8.05,8.45,6700,0.9998276233673096,60,7,7.577,0.2148738858186966,1.098406
8.35,8.359,7.8,7.85,4500,0.9998276233673096,60,7,7.527000000000001,0.2076424857240874,1.091215
7.95,8.16,7.78,7.995,2700,0.9998276233673096,60,7,7.276666666666667,0.191879483086365,1.08527
7.75,8.01,7.68,7.85,7300,0.9998276233673096,60,7,7.098333333333335,0.186335812504111,1.08737
7.65,8.23,7.65,8.19,7700,0.9998276233673096,60,7,6.898333333333333,0.1824982611891203,1.086567
8.413,8.86,8.3,8.48,5200,0.9998276233673096,60,7,7.0116666666666685,0.1997813757872699,1.083835
8.97,8.97,8.278,8.278,5900,0.9998276233673096,60,7,7.173333333333334,0.1993726104299633,1.07754
8.19,8.63,8.19,8.28,5300,0.9998276233673096,60,7,7.316000000000001,0.2592039655956346,1.082275
8.47,8.5,8.362,8.5,1300,0.9998276233673096,60,7,7.346000000000002,0.201458242850041,1.081105
8.411,8.772,8.411,8.561,3700,0.9998276233673096,60,7,7.352666666666666,0.1974126093759537,1.076971
8.5,8.884,8.5,8.5,1400,0.9998276233673096,60,7,7.447000000000001,0.1999645240523153,1.075732
8.66,8.66,8.153,8.153,1600,0.9998276233673096,60,7,7.520333333333333,0.2101556289513446,1.072444
8.38,8.38,8.0,8.0,600,0.9998276233673096,60,7,7.404666666666667,0.1935167623280201,1.072306
7.92,8.19,7.87,7.87,2100,0.9998276233673096,60,7,7.217666666666668,0.2090177758152872,1.070767
8.65,8.65,8.16,8.16,1500,0.9998276233673096,60,7,7.007666666666667,0.2194828841201223,1.073307
8.38,8.46,8.02,8.46,5400,0.9998276233673096,60,7,7.01,0.1675579174124614,1.069519
8.25,8.538,8.1,8.11,1000,0.9998276233673096,60,7,7.163333333333334,0.1731937968187976,1.076079
8.305,8.457,8.11,8.11,1000,0.9998276233673096,60,7,7.243333333333334,0.1607828028642942,1.069862
8.49,8.49,8.1,8.3,3300,0.9998276233673096,60,7,7.226666666666667,0.1866502496944283,1.07118
8.15,8.42,8.0,8.02,3700,0.9998276233673096,60,7,7.173333333333334,0.1952434233208268,1.069805
7.999,8.3,7.999,8.061,2300,0.9998276233673096,60,7,7.143333333333333,0.2077580836669842,1.070744
7.91,8.3,7.91,8.01,2700,0.9998276233673096,60,7,7.127000000000001,0.2008525373802503,1.078272
8.0,8.239,7.9,7.9,3900,0.9998276233673096,60,7,7.030333333333333,0.1948195977444288,1.075095
7.82,7.89,7.47,7.47,6400,0.9998276233673096,60,7,6.990333333333335,0.1417642442715413,1.076299
7.39,7.79,7.39,7.5,3000,0.9998276233673096,60,7,6.793333333333334,0.1836834166008534,1.078935
